|Unnamed: 0|year|player|year_on_ballot|votes|votes_pct|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary|player_old
658|658|1947|Art Fletcher|4th|3|1.9%|18.0|17.0|13.0|47.1|36.8|42.0|55.4|1533.0|5541.0|684.0|1534.0|32.0|676.0|160.0|203.0|0.277|0.319|0.365|0.684|100.0||||||||| |||||*654/H|Art Fletcher
659|659|1947|Joe McCarthy|2nd|2|1.2%||||||||||||||||||||||||||||| ||||||Joe McCarthy HOF
660|660|1947|Gavvy Cravath|5th|2|1.2%|50.0|23.0|11.0|33.0|30.0|31.5|56.7|1220.0|3951.0|575.0|1134.0|119.0|719.0|89.0|561.0|0.287|0.38|0.478|0.858|151.0||||||||| |||||*9H78/3|Gavvy Cravath
661|661|1947|Eppa Rixey|4th|2|1.2%|75.0|35.0|21.0|55.9|34.2|45.0|61.4|694.0|1522.0|95.0|291.0|3.0|111.0|2.0|49.0|0.191|0.221|0.224|0.445|22.0|266.0|251.0|3.15|115.0|1.272|692.0|554.0|14.0|4494.2|4633.0|93.0|1082.0|1350.0|*1/H|Eppa Rixey HOF
662|662|1947|Terry Turner|1st|2|1.2%|3.0|13.0|17.0|37.7|28.2|32.9|55.4|1659.0|5921.0|699.0|1499.0|8.0|528.0|256.0|435.0|0.253|0.308|0.318|0.626|89.0||||||||| |||||*6*549H/8|Terry Turner
663|663|1947|Gabby Hartnett|4th|2|1.2%|121.0|48.0|20.0|55.9|30.8|43.4|44.2|1990.0|6432.0|867.0|1912.0|236.0|1179.0|28.0|703.0|0.297|0.37|0.489|0.858|126.0||||||||| |||||*2H3|Gabby Hartnett HOF
664|664|1947|Eddie Dyer|1st|1|0.6%|0.0|0.0|6.0|-0.3|-0.3|-0.3|32.5|129.0|157.0|31.0|35.0|2.0|13.0|3.0|10.0|0.223|0.269|0.344|0.613|62.0|15.0|15.0|4.76|84.0|1.612|69.0|23.0|3.0|255.0|316.0|11.0|95.0|63.0|1H/78|Eddie Dyer
665|665|1947|Everett Scott|5th|1|0.6%|29.0|14.0|13.0|16.5|15.9|16.2|55.4|1654.0|5837.0|552.0|1455.0|20.0|555.0|69.0|243.0|0.249|0.281|0.315|0.596|65.0||||||||| |||||*6/H54|Everett Scott
666|666|1947|Hank Gowdy|6th|1|0.6%|6.0|25.0|17.0|23.8|18.3|21.0|44.2|1050.0|2735.0|270.0|738.0|21.0|321.0|59.0|311.0|0.27|0.351|0.358|0.709|104.0||||||||| |||||*2H3|Hank Gowdy
667|667|1947|Tony Lazzeri|2nd|1|0.6%|89.0|39.0|14.0|47.6|34.0|40.8|57.1|1740.0|6297.0|986.0|1840.0|178.0|1194.0|148.0|869.0|0.292|0.38|0.467|0.846|121.0||||||||| |||||*456H/73|Tony Lazzeri HOF
668|668|1947|George Kelly|1st|1|0.6%|48.0|22.0|16.0|25.3|24.1|24.7|53.8|1622.0|5993.0|819.0|1778.0|148.0|1020.0|65.0|386.0|0.297|0.342|0.452|0.794|109.0|1.0|0.0|0.0||1.0|1.0|0.0|0.0|5.0|4.0|0.0|1.0|2.0|*34H/79851|George Kelly HOF
669|669|1947|Charlie Gelbert|1st|1|0.6%|15.0|5.0|9.0|9.4|10.6|10.0|55.4|876.0|2869.0|398.0|766.0|17.0|350.0|34.0|290.0|0.267|0.336|0.374|0.709|81.0|0.0|0.0|9.0|55.0|2.0|2.0|0.0|0.0|4.0|5.0|2.0|3.0|1.0|*65H/41|Charlie Gelbert
670|670|1947|Bubbles Hargrave|1st|1|0.6%|24.0|20.0|12.0|16.6|16.5|16.6|44.2|852.0|2533.0|314.0|786.0|29.0|376.0|29.0|217.0|0.31|0.372|0.452|0.824|118.0||||||||| |||||*2H|Bubbles Hargrave
671|671|1947|Jesse Haines|2nd|1|0.6%|64.0|27.0|19.0|32.6|22.1|27.4|61.4|560.0|1124.0|76.0|209.0|3.0|79.0|2.0|30.0|0.186|0.208|0.218|0.426|12.0|210.0|158.0|3.64|109.0|1.35|555.0|387.0|11.0|3208.2|3460.0|165.0|871.0|981.0|*1/H3|Jesse Haines HOF
672|672|1947|Lefty Gomez|3rd|1|0.6%|128.0|34.0|14.0|38.7|36.1|37.4|61.4|368.0|904.0|59.0|133.0|0.0|58.0|1.0|50.0|0.147|0.194|0.159|0.353|-7.0|189.0|102.0|3.34|125.0|1.352|368.0|320.0|10.0|2503.0|2290.0|138.0|1095.0|1468.0|*1|Lefty Gomez HOF
673|673|1948|Herb Pennock|8th|94|77.7%|92.0|36.0|22.0|45.5|36.9|41.2|61.4|620.0|1214.0|108.0|232.0|4.0|103.0|1.0|94.0|0.191|0.253|0.235|0.488|31.0|241.0|162.0|3.6|106.0|1.348|617.0|419.0|37.0|3571.2|3900.0|128.0|916.0|1227.0|*1/H|Herb Pennock
674|674|1948|Pie Traynor|8th|93|76.9%|96.0|43.0|17.0|38.5|26.8|32.6|55.7|1941.0|7559.0|1183.0|2416.0|58.0|1273.0|158.0|472.0|0.32|0.362|0.435|0.797|107.0||||||||| |||||*56H/3|Pie Traynor
675|675|1948|Al Simmons|4th|60|49.6%|226.0|63.0|20.0|68.2|45.7|56.9|53.4|2215.0|8759.0|1507.0|2927.0|307.0|1828.0|88.0|615.0|0.334|0.38|0.535|0.915|133.0||||||||| |||||*7*8H/93|Al Simmons HOF
676|676|1948|Charlie Gehringer|5th|52|43.0%|277.0|72.0|19.0|84.8|52.9|68.8|57.1|2323.0|8860.0|1775.0|2839.0|184.0|1427.0|181.0|1186.0|0.32|0.404|0.48|0.884|125.0||||||||| |||||*4H/35|Charlie Gehringer HOF
677|677|1948|Bill Terry|8th|52|43.0%|169.0|42.0|14.0|56.5|43.3|49.9|53.8|1721.0|6428.0|1120.0|2193.0|154.0|1078.0|56.0|537.0|0.341|0.393|0.506|0.899|136.0||||||||| |||||*3H/97|Bill Terry HOF
678|678|1948|Paul Waner|2nd|51|42.1%|253.0|61.0|20.0|74.7|43.3|59.0|56.7|2549.0|9459.0|1627.0|3152.0|113.0|1309.0|104.0|1091.0|0.333|0.404|0.473|0.878|134.0||||||||| |||||*9H3/78|Paul Waner HOF
679|679|1948|Jimmie Foxx|4th|50|41.3%|314.0|72.0|20.0|92.3|57.9|75.1|53.8|2317.0|8134.0|1751.0|2646.0|534.0|1922.0|87.0|1452.0|0.325|0.428|0.609|1.038|163.0|1.0|0.0|1.52|261.0|1.141|10.0|2.0|0.0|23.2|13.0|0.0|14.0|11.0|*3H52/7196|Jimmie Foxx HOF
680|680|1948|Dizzy Dean|4th|40|33.1%|112.0|33.0|12.0|46.2|44.1|45.1|61.4|325.0|717.0|76.0|161.0|8.0|76.0|5.0|9.0|0.225|0.235|0.301|0.536|43.0|150.0|83.0|3.02|131.0|1.206|317.0|230.0|31.0|1967.1|1919.0|95.0|453.0|1163.0|*1/H|Dizzy Dean HOF
681|681|1948|Harry Heilmann|8th|40|33.1%|192.0|57.0|17.0|72.5|47.4|60.0|56.7|2147.0|7787.0|1291.0|2660.0|183.0|1543.0|113.0|856.0|0.342|0.41|0.52|0.93|148.0||||||||| |||||*9*3H8/47|Harry Heilmann HOF
682|682|1948|Bill Dickey|3rd|39|32.2%|178.0|56.0|17.0|56.4|35.5|45.9|44.2|1789.0|6300.0|930.0|1969.0|202.0|1209.0|36.0|678.0|0.313|0.382|0.486|0.868|127.0||||||||| |||||*2H|Bill Dickey HOF
683|683|1948|Rabbit Maranville|8th|38|31.4%|59.0|30.0|23.0|43.9|30.5|37.2|55.4|2670.0|10078.0|1256.0|2605.0|28.0|884.0|291.0|839.0|0.258|0.318|0.34|0.658|82.0||||||||| |||||*6*4/H5|Rabbit Maranville HOF
684|684|1948|Gabby Hartnett|5th|33|27.3%|121.0|48.0|20.0|55.9|30.8|43.4|44.2|1990.0|6432.0|867.0|1912.0|236.0|1179.0|28.0|703.0|0.297|0.37|0.489|0.858|126.0||||||||| |||||*2H3|Gabby Hartnett HOF
685|685|1948|Joe Cronin|2nd|25|20.7%|143.0|55.0|20.0|64.7|43.7|54.2|55.4|2124.0|7579.0|1233.0|2285.0|170.0|1424.0|87.0|1059.0|0.301|0.39|0.468|0.857|119.0||||||||| |||||*6H534/7|Joe Cronin HOF
686|686|1948|Dazzy Vance|9th|23|19.0%|89.0|35.0|16.0|60.3|49.6|54.9|61.4|442.0|971.0|68.0|146.0|7.0|75.0|1.0|79.0|0.15|0.219|0.198|0.417|10.0|197.0|140.0|3.24|125.0|1.23|442.0|349.0|12.0|2966.2|2809.0|132.0|840.0|2045.0|*1/H|Dazzy Vance HOF
687|687|1948|Ray Schalk|9th|22|18.2%|56.0|25.0|18.0|33.2|25.8|29.5|44.2|1762.0|5306.0|579.0|1345.0|11.0|593.0|177.0|638.0|0.253|0.34|0.316|0.656|83.0||||||||| |||||*2H|Ray Schalk HOF
688|688|1948|Tony Lazzeri|3rd|21|17.4%|89.0|39.0|14.0|47.6|34.0|40.8|57.1|1740.0|6297.0|986.0|1840.0|178.0|1194.0|148.0|869.0|0.292|0.38|0.467|0.846|121.0||||||||| |||||*456H/73|Tony Lazzeri HOF
689|689|1948|Ross Youngs|9th|19|15.7%|71.0|32.0|10.0|32.7|30.8|31.8|56.7|1211.0|4627.0|812.0|1491.0|42.0|592.0|153.0|550.0|0.322|0.399|0.441|0.839|130.0||||||||| |||||*9/4H87|Ross Youngs HOF
690|690|1948|Edd Roush|9th|17|14.0%|74.0|36.0|18.0|45.6|31.7|38.7|58.1|1967.0|7363.0|1099.0|2376.0|68.0|981.0|268.0|484.0|0.323|0.369|0.446|0.815|126.0||||||||| |||||*8H7/394|Edd Roush HOF
691|691|1948|Lefty Gomez|4th|16|13.2%|128.0|34.0|14.0|38.7|36.1|37.4|61.4|368.0|904.0|59.0|133.0|0.0|58.0|1.0|50.0|0.147|0.194|0.159|0.353|-7.0|189.0|102.0|3.34|125.0|1.352|368.0|320.0|10.0|2503.0|2290.0|138.0|1095.0|1468.0|*1|Lefty Gomez HOF
692|692|1948|Ted Lyons|3rd|15|12.4%|65.0|30.0|21.0|70.5|40.7|55.6|61.4|705.0|1563.0|162.0|364.0|5.0|149.0|0.0|73.0|0.233|0.27|0.285|0.556|45.0|260.0|230.0|3.67|118.0|1.348|594.0|484.0|25.0|4161.0|4489.0|222.0|1121.0|1073.0|*1H/9|Ted Lyons HOF
693|693|1948|Zack Wheat|8th|15|12.4%|99.0|48.0|19.0|60.5|34.8|47.7|53.4|2410.0|9106.0|1289.0|2884.0|132.0|1248.0|205.0|650.0|0.317|0.367|0.45|0.817|129.0||||||||| |||||*7H/89|Zack Wheat HOF
694|694|1948|Max Carey|5th|9|7.4%|79.0|36.0|20.0|55.3|33.5|44.4|58.1|2476.0|9363.0|1545.0|2665.0|70.0|802.0|738.0|1040.0|0.285|0.361|0.386|0.747|108.0||||||||| |||||*8*79H|Max Carey HOF
695|695|1948|Jimmie Wilson|1st|8|6.6%|45.0|26.0|18.0|11.3|10.6|11.0|44.2|1525.0|4778.0|580.0|1358.0|32.0|621.0|86.0|356.0|0.284|0.336|0.37|0.707|82.0||||||||| |||||*2H/34879|Jimmie Wilson
696|696|1948|Burleigh Grimes|4th|7|5.8%|115.0|38.0|19.0|52.8|41.1|47.0|61.4|632.0|1535.0|157.0|380.0|2.0|168.0|15.0|69.0|0.248|0.282|0.306|0.588|58.0|270.0|212.0|3.53|108.0|1.365|616.0|497.0|18.0|4180.0|4412.0|148.0|1295.0|1512.0|*1/H|Burleigh Grimes HOF
697|697|1948|Waite Hoyt|4th|7|5.8%|94.0|32.0|21.0|52.3|34.8|43.6|61.4|674.0|1287.0|96.0|255.0|0.0|100.0|0.0|40.0|0.198|0.223|0.235|0.458|20.0|237.0|182.0|3.59|112.0|1.34|674.0|425.0|53.0|3762.1|4037.0|154.0|1003.0|1206.0|*1|Waite Hoyt HOF
698|698|1948|Pepper Martin|4th|7|5.8%|49.0|21.0|13.0|21.9|19.8|20.9|56.7|1189.0|4117.0|756.0|1227.0|59.0|501.0|146.0|369.0|0.298|0.358|0.443|0.801|113.0|0.0|0.0|2.25|215.0|1.0|2.0|0.0|0.0|4.0|2.0|0.0|2.0|0.0|*5*89H7/1|Pepper Martin
699|699|1948|Earle Combs|5th|6|5.0%|103.0|37.0|12.0|44.7|35.9|40.3|58.1|1455.0|5746.0|1186.0|1866.0|58.0|633.0|98.0|670.0|0.325|0.397|0.462|0.859|125.0||||||||| |||||*87H9|Earle Combs HOF
700|700|1948|Charlie Grimm|4th|6|5.0%|18.0|19.0|20.0|12.4|12.4|12.4|53.8|2166.0|7917.0|908.0|2299.0|79.0|1077.0|57.0|578.0|0.29|0.341|0.397|0.738|95.0||||||||| |||||*3H/9758|Charlie Grimm
701|701|1948|Rube Marquard|7th|6|5.0%|84.0|31.0|18.0|32.4|30.1|31.3|61.4|536.0|1107.0|63.0|198.0|1.0|66.0|6.0|33.0|0.179|0.207|0.202|0.41|17.0|201.0|177.0|3.08|103.0|1.237|536.0|408.0|20.0|3306.2|3233.0|107.0|858.0|1593.0|*1|Rube Marquard HOF
702|702|1948|Bob Meusel|4th|6|5.0%|69.0|31.0|11.0|28.2|23.6|25.9|56.7|1407.0|5475.0|826.0|1693.0|156.0|1071.0|143.0|375.0|0.309|0.356|0.497|0.852|118.0||||||||| |||||*7*958H/3|Bob Meusel
703|703|1948|Charles Bender|9th|5|4.1%|119.0|51.0|16.0|48.0|33.6|40.8|61.4|507.0|1147.0|102.0|243.0|6.0|116.0|20.0|75.0|0.212|0.266|0.28|0.546|66.0|212.0|127.0|2.46|112.0|1.113|459.0|334.0|34.0|3017.0|2645.0|40.0|712.0|1711.0|*1H/38745|Charles Bender HOF
704|704|1948|Jimmy Dykes|1st|5|4.1%|27.0|30.0|22.0|34.7|21.5|28.1|55.7|2282.0|8046.0|1108.0|2256.0|108.0|1069.0|70.0|958.0|0.28|0.365|0.399|0.764|96.0|0.0|0.0|4.5|111.0|1.5|2.0|0.0|1.0|2.0|2.0|0.0|1.0|0.0|*5*436H/8719|Jimmy Dykes
705|705|1948|Travis Jackson|1st|5|4.1%|28.0|29.0|15.0|44.0|35.2|39.6|55.4|1656.0|6086.0|833.0|1768.0|135.0|929.0|71.0|412.0|0.291|0.337|0.433|0.77|102.0||||||||| |||||*6*5H/49|Travis Jackson HOF
706|706|1948|Stuffy McInnis|4th|5|4.1%|43.0|23.0|19.0|34.6|25.2|29.9|53.8|2128.0|7822.0|871.0|2405.0|20.0|1063.0|172.0|380.0|0.307|0.343|0.381|0.723|105.0||||||||| |||||*3H6/547|Stuffy McInnis
707|707|1948|Eppa Rixey|5th|5|4.1%|75.0|35.0|21.0|55.9|34.2|45.0|61.4|694.0|1522.0|95.0|291.0|3.0|111.0|2.0|49.0|0.191|0.221|0.224|0.445|22.0|266.0|251.0|3.15|115.0|1.272|692.0|554.0|14.0|4494.2|4633.0|93.0|1082.0|1350.0|*1/H|Eppa Rixey HOF
708|708|1948|Smoky Joe Wood|7th|5|4.1%|68.0|39.0|14.0|40.1|34.4|37.3|61.4|697.0|1952.0|266.0|553.0|23.0|325.0|23.0|208.0|0.283|0.357|0.411|0.768|110.0|117.0|57.0|2.03|146.0|1.087|225.0|158.0|10.0|1434.1|1138.0|10.0|421.0|989.0|917H/843|Smoky Joe Wood
709|709|1948|Babe Adams|8th|4|3.3%|72.0|39.0|19.0|52.7|41.5|47.1|61.4|482.0|1019.0|79.0|216.0|3.0|75.0|1.0|53.0|0.212|0.252|0.281|0.532|50.0|194.0|140.0|2.76|118.0|1.092|482.0|354.0|16.0|2995.1|2841.0|67.0|430.0|1036.0|*1|Babe Adams
710|710|1948|Home Run Baker|9th|4|3.3%|81.0|33.0|13.0|62.8|46.8|54.8|55.7|1575.0|5984.0|887.0|1838.0|96.0|991.0|235.0|473.0|0.307|0.363|0.442|0.805|135.0||||||||| |||||*5H|Home Run Baker HOF
711|711|1948|Dave Bancroft|5th|4|3.3%|85.0|29.0|16.0|49.7|37.9|43.8|55.4|1913.0|7182.0|1048.0|2004.0|32.0|591.0|145.0|827.0|0.279|0.355|0.358|0.714|98.0||||||||| |||||*6/H457|Dave Bancroft HOF
712|712|1948|Jim Bottomley|1st|4|3.3%|99.0|42.0|16.0|35.8|29.6|32.7|53.8|1991.0|7471.0|1177.0|2313.0|219.0|1422.0|58.0|664.0|0.31|0.369|0.5|0.869|125.0||||||||| |||||*3H/4|Jim Bottomley HOF
713|713|1948|Miller Huggins|7th|4|3.3%|12.0|25.0|13.0|35.4|25.4|30.4|57.1|1586.0|5558.0|948.0|1474.0|9.0|318.0|324.0|1003.0|0.265|0.382|0.314|0.696|107.0||||||||| |||||*4H/5|Miller Huggins HOF
714|714|1948|Lefty O'Doul|1st|4|3.3%|92.0|31.0|11.0|27.1|27.3|27.2|53.4|970.0|3264.0|624.0|1140.0|113.0|542.0|36.0|333.0|0.349|0.413|0.532|0.945|143.0|1.0|1.0|4.87|83.0|1.97|34.0|1.0|0.0|77.2|104.0|1.0|49.0|19.0|*7H91/8|Lefty O'Doul
715|715|1948|Red Ruffing|1st|4|3.3%|130.0|38.0|22.0|68.6|39.9|54.3|61.4|882.0|1937.0|207.0|521.0|36.0|273.0|1.0|97.0|0.269|0.306|0.389|0.695|81.0|273.0|225.0|3.8|109.0|1.341|624.0|538.0|18.0|4344.0|4284.0|254.0|1541.0|1987.0|*1H/79|Red Ruffing HOF
716|716|1948|Kiki Cuyler|1st|3|2.5%|116.0|46.0|18.0|47.9|35.6|41.7|56.7|1879.0|7161.0|1305.0|2299.0|128.0|1065.0|328.0|676.0|0.321|0.386|0.474|0.86|125.0||||||||| |||||*9*8*7H|Kiki Cuyler HOF
717|717|1948|Joe Dugan|3rd|3|2.5%|22.0|13.0|14.0|9.9|11.0|10.5|55.7|1447.0|5410.0|665.0|1516.0|42.0|567.0|37.0|250.0|0.28|0.317|0.372|0.689|82.0||||||||| |||||*564H/7|Joe Dugan
718|718|1948|George Earnshaw|1st|3|2.5%|57.0|10.0|9.0|21.9|23.5|22.7|61.4|319.0|704.0|61.0|162.0|3.0|70.0|1.0|20.0|0.23|0.253|0.295|0.549|41.0|127.0|93.0|4.38|100.0|1.457|319.0|249.0|12.0|1915.1|1981.0|142.0|809.0|1002.0|*1|George Earnshaw
719|719|1948|Red Faber|5th|3|2.5%|89.0|37.0|20.0|64.0|40.8|52.4|61.4|670.0|1269.0|98.0|170.0|3.0|71.0|7.0|169.0|0.134|0.24|0.161|0.401|10.0|254.0|213.0|3.15|119.0|1.302|669.0|483.0|27.0|4086.2|4106.0|111.0|1213.0|1471.0|*1/H|Red Faber HOF
720|720|1948|Art Fletcher|5th|3|2.5%|18.0|17.0|13.0|47.1|36.8|42.0|55.4|1533.0|5541.0|684.0|1534.0|32.0|676.0|160.0|203.0|0.277|0.319|0.365|0.684|100.0||||||||| |||||*654/H|Art Fletcher
721|721|1948|Hank Gowdy|7th|3|2.5%|6.0|25.0|17.0|23.8|18.3|21.0|44.2|1050.0|2735.0|270.0|738.0|21.0|321.0|59.0|311.0|0.27|0.351|0.358|0.709|104.0||||||||| |||||*2H3|Hank Gowdy
722|722|1948|Bucky Harris|3rd|3|2.5%|12.0|18.0|12.0|16.0|16.0|16.0|57.1|1263.0|4736.0|722.0|1297.0|9.0|508.0|167.0|472.0|0.274|0.352|0.354|0.706|86.0||||||||| |||||*4/H659|Bucky Harris HOF
723|723|1948|Chuck Klein|1st|3|2.5%|194.0|48.0|17.0|46.5|39.0|42.7|56.7|1753.0|6486.0|1168.0|2076.0|300.0|1201.0|79.0|601.0|0.32|0.379|0.543|0.922|137.0||||||||| |||||*97H8/3|Chuck Klein HOF
724|724|1948|Eddie Rommel|1st|3|2.5%|49.0|23.0|13.0|49.8|37.4|43.6|61.4|508.0|826.0|80.0|164.0|1.0|59.0|1.0|62.0|0.199|0.255|0.245|0.499|28.0|171.0|119.0|3.54|121.0|1.35|501.0|249.0|30.0|2557.0|2729.0|138.0|724.0|599.0|*1/7H49|Eddie Rommel
725|725|1948|Charlie Root|2nd|3|2.5%|61.0|28.0|17.0|37.5|26.3|31.9|61.4|632.0|1086.0|86.0|196.0|11.0|93.0|1.0|44.0|0.18|0.217|0.266|0.483|28.0|201.0|160.0|3.59|111.0|1.295|632.0|341.0|42.0|3197.1|3252.0|189.0|889.0|1459.0|*1|Charlie Root
726|726|1948|Everett Scott|6th|3|2.5%|29.0|14.0|13.0|16.5|15.9|16.2|55.4|1654.0|5837.0|552.0|1455.0|20.0|555.0|69.0|243.0|0.249|0.281|0.315|0.596|65.0||||||||| |||||*6/H54|Everett Scott
727|727|1948|Ossie Bluege|1st|2|1.7%|8.0|18.0|18.0|28.5|20.2|24.4|55.7|1867.0|6440.0|883.0|1751.0|43.0|848.0|140.0|723.0|0.272|0.352|0.356|0.707|85.0||||||||| |||||*564H/37|Ossie Bluege
728|728|1948|Jack Coombs|4th|2|1.7%|95.0|30.0|14.0|26.7|27.3|27.0|61.4|460.0|1110.0|123.0|261.0|4.0|100.0|21.0|59.0|0.235|0.278|0.295|0.573|74.0|158.0|110.0|2.78|99.0|1.239|354.0|268.0|8.0|2320.0|2034.0|38.0|841.0|1052.0|*1H9/873|Jack Coombs
729|729|1948|Wilbur Cooper|3rd|2|1.7%|76.0|33.0|15.0|53.6|42.0|47.8|61.4|521.0|1227.0|111.0|293.0|6.0|106.0|12.0|47.0|0.239|0.269|0.309|0.578|61.0|216.0|178.0|2.89|116.0|1.226|517.0|406.0|14.0|3480.0|3415.0|103.0|853.0|1252.0|*1/H79|Wilbur Cooper
730|730|1948|Stan Coveleski|2nd|2|1.7%|109.0|38.0|14.0|61.5|50.8|56.2|61.4|451.0|1058.0|70.0|168.0|1.0|81.0|0.0|53.0|0.159|0.202|0.205|0.407|9.0|215.0|142.0|2.89|127.0|1.251|450.0|385.0|21.0|3082.0|3055.0|66.0|802.0|981.0|*1/9|Stan Coveleski HOF
731|731|1948|Freddie Fitzsimmons|1st|2|1.7%|56.0|33.0|19.0|35.8|23.4|29.6|61.4|513.0|1155.0|112.0|231.0|14.0|103.0|0.0|36.0|0.2|0.233|0.279|0.511|36.0|217.0|146.0|3.51|112.0|1.297|513.0|424.0|13.0|3223.2|3335.0|187.0|846.0|870.0|*1|Freddie Fitzsimmons
732|732|1948|Stan Hack|1st|2|1.7%|76.0|38.0|16.0|55.5|37.5|46.5|55.7|1938.0|7278.0|1239.0|2193.0|57.0|642.0|165.0|1092.0|0.301|0.394|0.397|0.791|119.0||||||||| |||||*5H3|Stan Hack
733|733|1948|Jesse Haines|3rd|2|1.7%|64.0|27.0|19.0|32.6|22.1|27.4|61.4|560.0|1124.0|76.0|209.0|3.0|79.0|2.0|30.0|0.186|0.208|0.218|0.426|12.0|210.0|158.0|3.64|109.0|1.35|555.0|387.0|11.0|3208.2|3460.0|165.0|871.0|981.0|*1/H3|Jesse Haines HOF
734|734|1948|Babe Herman|2nd|2|1.7%|74.0|39.0|13.0|39.4|31.2|35.3|56.7|1552.0|5603.0|882.0|1818.0|181.0|997.0|94.0|520.0|0.324|0.383|0.532|0.915|141.0||||||||| |||||*937H|Babe Herman
735|735|1948|Harry Hooper|4th|2|1.7%|36.0|34.0|17.0|53.5|30.1|41.8|56.7|2309.0|8785.0|1429.0|2466.0|75.0|816.0|375.0|1136.0|0.281|0.368|0.387|0.755|114.0|0.0|0.0|0.0||1.5|1.0|0.0|0.0|2.0|2.0|0.0|1.0|0.0|*97H/81|Harry Hooper HOF
736|736|1948|George Kelly|2nd|2|1.7%|48.0|22.0|16.0|25.3|24.1|24.7|53.8|1622.0|5993.0|819.0|1778.0|148.0|1020.0|65.0|386.0|0.297|0.342|0.452|0.794|109.0|1.0|0.0|0.0||1.0|1.0|0.0|0.0|5.0|4.0|0.0|1.0|2.0|*34H/79851|George Kelly HOF
737|737|1948|Johnny Kling|8th|2|1.7%|25.0|23.0|13.0|29.1|25.8|27.4|44.2|1261.0|4246.0|475.0|1154.0|20.0|514.0|124.0|281.0|0.272|0.319|0.357|0.676|100.0||||||||| |||||*2H/937856|Johnny Kling
738|738|1948|Steve O'Neill|1st|2|1.7%|46.0|26.0|17.0|26.3|20.4|23.4|44.2|1590.0|4795.0|448.0|1259.0|13.0|534.0|30.0|592.0|0.263|0.349|0.337|0.685|88.0||||||||| |||||*2H/3|Steve O'Neill
739|739|1948|Jack Quinn|1st|2|1.7%|63.0|30.0|23.0|58.7|33.1|45.9|61.4|771.0|1349.0|90.0|248.0|8.0|115.0|5.0|89.0|0.184|0.236|0.24|0.476|29.0|247.0|218.0|3.29|114.0|1.3|756.0|443.0|56.0|3920.1|4238.0|103.0|860.0|1329.0|*1/H97|Jack Quinn
740|740|1948|Al Schacht|2nd|2|1.7%|0.0|0.0|3.0|0.2|0.2|0.2|32.5|53.0|51.0|9.0|10.0|0.0|4.0|0.0|9.0|0.196|0.339|0.235|0.574|55.0|14.0|10.0|4.48|86.0|1.599|53.0|18.0|3.0|197.0|254.0|4.0|61.0|38.0|1|Al Schacht
741|741|1948|Hack Wilson|4th|2|1.7%|104.0|39.0|12.0|38.7|36.1|37.4|58.1|1348.0|4760.0|884.0|1461.0|244.0|1063.0|52.0|674.0|0.307|0.395|0.545|0.94|144.0||||||||| |||||*879H/4|Hack Wilson HOF
742|742|1948|Glenn Wright|1st|2|1.7%|33.0|27.0|11.0|25.3|24.5|24.9|55.4|1119.0|4153.0|584.0|1219.0|94.0|723.0|38.0|209.0|0.294|0.328|0.447|0.775|99.0||||||||| |||||*6H/3459|Glenn Wright
743|743|1948|Dick Bartell|1st|1|0.8%|67.0|32.0|18.0|41.7|30.3|36.0|55.4|2016.0|7629.0|1130.0|2165.0|79.0|710.0|109.0|748.0|0.284|0.355|0.391|0.747|96.0||||||||| |||||*654H|Dick Bartell
744|744|1948|Carson Bigbee|1st|1|0.8%|24.0|14.0|11.0|11.7|13.8|12.8|53.4|1147.0|4192.0|629.0|1205.0|17.0|324.0|182.0|344.0|0.287|0.345|0.369|0.713|97.0||||||||| |||||*7H84/965|Carson Bigbee
745|745|1948|Leon Cadore|1st|1|0.8%|8.0|12.0|10.0|19.4|19.9|19.7|61.4|193.0|442.0|28.0|92.0|5.0|45.0|2.0|14.0|0.208|0.234|0.283|0.517|45.0|68.0|72.0|3.14|107.0|1.242|192.0|147.0|3.0|1257.1|1273.0|44.0|289.0|445.0|1/H|Leon Cadore
746|746|1948|Dolph Camilli|1st|1|0.8%|56.0|26.0|12.0|43.3|40.0|41.7|53.8|1490.0|5353.0|936.0|1482.0|239.0|950.0|60.0|947.0|0.277|0.388|0.492|0.88|136.0||||||||| |||||*3/H|Dolph Camilli
747|747|1948|Virgil Davis|1st|1|0.8%|44.0|38.0|16.0|22.4|17.7|20.1|44.2|1458.0|4255.0|388.0|1312.0|77.0|647.0|6.0|386.0|0.308|0.369|0.43|0.799|110.0||||||||| |||||*2H/35|Virgil Davis
748|748|1948|Paul Derringer|1st|1|0.8%|99.0|28.0|15.0|36.0|26.4|31.2|61.4|579.0|1260.0|70.0|220.0|2.0|102.0|0.0|16.0|0.175|0.186|0.208|0.394|9.0|223.0|212.0|3.46|108.0|1.282|579.0|445.0|29.0|3645.0|3912.0|158.0|761.0|1507.0|*1|Paul Derringer
749|749|1948|Leo Durocher|1st|1|0.8%|15.0|14.0|17.0|4.3|7.1|5.7|55.4|1637.0|5350.0|575.0|1320.0|24.0|567.0|31.0|377.0|0.247|0.299|0.32|0.619|66.0||||||||| |||||*64H/5|Leo Durocher HOF
