|Unnamed: 0|year|player|year_on_ballot|votes|votes_pct|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary|player_old
132|132|1937|Cy Falkenberg|1st|1|0.5%|41.0|20.0|12.0|20.0|22.6|21.3|61.4|332.0|771.0|49.0|117.0|1.0|47.0|7.0|39.0|0.152|0.197|0.18|0.377|14.0|130.0|123.0|2.68|107.0|1.222|330.0|266.0|8.0|2275.0|2090.0|23.0|690.0|1164.0|*1/H|Cy Falkenberg
133|133|1937|Kid Gleason|1st|1|0.5%|11.0|17.0|22.0|41.8|39.0|40.4|61.4|1968.0|7459.0|1022.0|1946.0|15.0|824.0|329.0|501.0|0.261|0.311|0.318|0.628|78.0|138.0|131.0|3.79|104.0|1.447|299.0|266.0|6.0|2389.1|2552.0|76.0|906.0|744.0|*41O/6538H7|Kid Gleason
134|134|1937|Burleigh Grimes|1st|1|0.5%|115.0|38.0|19.0|52.8|41.1|47.0|61.4|632.0|1535.0|157.0|380.0|2.0|168.0|15.0|69.0|0.248|0.282|0.306|0.588|58.0|270.0|212.0|3.53|108.0|1.365|616.0|497.0|18.0|4180.0|4412.0|148.0|1295.0|1512.0|*1/H|Burleigh Grimes HOF
135|135|1937|Heinie Groh|1st|1|0.5%|24.0|24.0|16.0|48.4|35.5|41.9|55.7|1676.0|6074.0|918.0|1774.0|26.0|566.0|180.0|696.0|0.292|0.373|0.384|0.757|118.0||||||||| |||||*5*4H/6|Heinie Groh
136|136|1937|Bill Hinchman|1st|1|0.5%|6.0|4.0|10.0|13.7|14.6|14.2|56.7|908.0|3043.0|364.0|793.0|20.0|369.0|85.0|298.0|0.261|0.336|0.368|0.704|118.0||||||||| |||||*9*7368H/54|Bill Hinchman
137|137|1937|Joe Judge|1st|1|0.5%|33.0|32.0|20.0|47.9|26.7|37.3|53.8|2171.0|7898.0|1184.0|2352.0|71.0|1034.0|213.0|965.0|0.298|0.378|0.42|0.798|114.0||||||||| |||||*3H/9|Joe Judge
138|138|1937|Dickey Kerr|1st|1|0.5%|22.0|12.0|4.0|10.1|10.1|10.1|61.4|143.0|275.0|40.0|60.0|0.0|21.0|4.0|28.0|0.218|0.295|0.284|0.579|54.0|53.0|34.0|3.84|99.0|1.388|140.0|83.0|6.0|811.1|876.0|24.0|250.0|235.0|1/H|Dickey Kerr
139|139|1937|Tommy Leach|1st|1|0.5%|30.0|25.0|19.0|47.1|31.0|39.0|55.7|2156.0|7959.0|1355.0|2143.0|63.0|812.0|361.0|820.0|0.269|0.34|0.37|0.71|109.0||||||||| |||||*O*8*576H/49|Tommy Leach
140|140|1937|Sam Leever|1st|1|0.5%|97.0|46.0|13.0|40.5|33.3|36.9|61.4|389.0|993.0|90.0|183.0|2.0|78.0|4.0|49.0|0.184|0.228|0.236|0.463|36.0|194.0|100.0|2.47|123.0|1.141|388.0|299.0|13.0|2660.2|2449.0|29.0|587.0|847.0|*1/7|Sam Leever
141|141|1937|Herman Long|1st|1|0.5%|88.0|41.0|16.0|37.0|24.8|30.9|55.4|1875.0|7678.0|1456.0|2129.0|91.0|1055.0|537.0|612.0|0.277|0.335|0.383|0.718|94.0||||||||| |||||*64/O35H|Herman Long
142|142|1937|Dolf Luque|1st|1|0.5%|44.0|23.0|20.0|48.1|36.7|42.4|61.4|559.0|1043.0|96.0|237.0|5.0|90.0|7.0|70.0|0.227|0.283|0.291|0.573|53.0|194.0|179.0|3.24|118.0|1.288|550.0|367.0|29.0|3220.1|3231.0|113.0|918.0|1130.0|*1/H57|Dolf Luque
143|143|1937|Stuffy McInnis|1st|1|0.5%|43.0|23.0|19.0|34.6|25.2|29.9|53.8|2128.0|7822.0|871.0|2405.0|20.0|1063.0|172.0|380.0|0.307|0.343|0.381|0.723|105.0||||||||| |||||*3H6/547|Stuffy McInnis
144|144|1937|Larry McLean|1st|1|0.5%|0.0|0.0|13.0|12.8|14.1|13.5|44.2|862.0|2647.0|183.0|694.0|6.0|298.0|20.0|136.0|0.262|0.301|0.323|0.623|86.0||||||||| |||||*2H3|Larry McLean
145|145|1937|Bob Meusel|1st|1|0.5%|69.0|31.0|11.0|28.2|23.6|25.9|56.7|1407.0|5475.0|826.0|1693.0|156.0|1071.0|143.0|375.0|0.309|0.356|0.497|0.852|118.0||||||||| |||||*7*958H/3|Bob Meusel
146|146|1937|Hack Miller|1st|1|0.5%|24.0|23.0|6.0|5.8|5.8|5.8|53.4|349.0|1200.0|164.0|387.0|38.0|205.0|10.0|64.0|0.323|0.361|0.49|0.851|121.0||||||||| |||||*7H/89|Hack Miller
147|147|1937|Pat Moran|1st|1|0.5%|0.0|0.0|14.0|7.5|9.4|8.5|44.2|818.0|2634.0|198.0|618.0|18.0|262.0|55.0|142.0|0.235|0.283|0.312|0.595|78.0||||||||| |||||*2H5/3964|Pat Moran
148|148|1937|Danny Murphy|1st|1|0.5%|20.0|17.0|16.0|35.7|29.2|32.5|57.1|1496.0|5399.0|705.0|1563.0|44.0|702.0|193.0|335.0|0.289|0.336|0.405|0.742|124.0||||||||| |||||*4*9H/837|Danny Murphy
149|149|1937|Red Murray|1st|1|0.5%|7.0|11.0|11.0|15.9|15.5|15.7|56.7|1264.0|4334.0|554.0|1170.0|37.0|575.0|321.0|299.0|0.27|0.323|0.379|0.702|108.0||||||||| |||||*9*78H/24|Red Murray
150|150|1937|Dode Paskert|1st|1|0.5%|12.0|15.0|15.0|24.7|21.0|22.9|58.1|1716.0|6017.0|868.0|1613.0|42.0|577.0|293.0|715.0|0.268|0.35|0.361|0.711|108.0||||||||| |||||*87H9/3564|Dode Paskert
151|151|1937|Bugs Raymond|1st|1|0.5%|8.0|17.0|6.0|5.7|5.7|5.7|61.4|136.0|263.0|12.0|42.0|0.0|14.0|1.0|16.0|0.16|0.211|0.198|0.408|26.0|45.0|57.0|2.49|105.0|1.177|136.0|95.0|2.0|854.2|724.0|15.0|282.0|401.0|1|Bugs Raymond
152|152|1937|Eppa Rixey|1st|1|0.5%|75.0|35.0|21.0|55.9|34.2|45.0|61.4|694.0|1522.0|95.0|291.0|3.0|111.0|2.0|49.0|0.191|0.221|0.224|0.445|22.0|266.0|251.0|3.15|115.0|1.272|692.0|554.0|14.0|4494.2|4633.0|93.0|1082.0|1350.0|*1/H|Eppa Rixey HOF
153|153|1937|Dick Rudolph|1st|1|0.5%|46.0|22.0|13.0|23.1|24.8|24.0|61.4|284.0|698.0|46.0|131.0|2.0|56.0|9.0|53.0|0.188|0.248|0.234|0.482|46.0|121.0|109.0|2.66|105.0|1.158|279.0|240.0|8.0|2049.0|1971.0|35.0|402.0|786.0|1/H|Dick Rudolph
154|154|1937|Amos Rusie|1st|1|0.5%|187.0|42.0|10.0|65.8|63.3|64.6|61.4|487.0|1730.0|209.0|429.0|8.0|176.0|25.0|27.0|0.248|0.262|0.32|0.582|62.0|246.0|174.0|3.07|129.0|1.349|463.0|427.0|5.0|3778.2|3389.0|75.0|1707.0|1950.0|*1/O3|Amos Rusie HOF
155|155|1937|Frank Schulte|1st|1|0.5%|40.0|15.0|15.0|23.7|19.6|21.7|56.7|1806.0|6533.0|906.0|1766.0|92.0|793.0|233.0|545.0|0.27|0.332|0.395|0.726|115.0||||||||| |||||*9*7H/8|Frank Schulte
156|156|1937|Joe Sewell|1st|1|0.5%|68.0|45.0|14.0|54.7|37.4|46.0|55.4|1903.0|7132.0|1141.0|2226.0|49.0|1054.0|74.0|842.0|0.312|0.391|0.413|0.804|109.0||||||||| |||||*6*5H/4|Joe Sewell HOF
157|157|1937|Harry Steinfeldt|1st|1|0.5%|20.0|14.0|14.0|30.4|26.0|28.2|55.7|1647.0|5900.0|759.0|1578.0|27.0|762.0|202.0|471.0|0.267|0.33|0.36|0.69|102.0||||||||| |||||*54O/6H379|Harry Steinfeldt
158|158|1937|Gabby Street|1st|1|0.5%|0.0|0.0|8.0|6.4|7.0|6.7|44.2|504.0|1501.0|98.0|312.0|2.0|105.0|17.0|119.0|0.208|0.273|0.256|0.529|66.0||||||||| |||||*2/H|Gabby Street
