|player|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary|is_in_hof|years_on_ballot
182|Germany Schaefer|6.0|12.0|15.0|8.9|11.3|10.1|57.1|1150.0|3784.0|495.0|972.0|9.0|309.0|201.0|333.0|0.257|0.319|0.32|0.639|97.0|0.0|0.0|18.0|35.0|3.0|2.0|0.0|0.0|1.0|3.0|1.0|0.0|0.0|*435H69/781|False|2
183|Jack Dunn|0.0|0.0|8.0|6.7|8.6|7.6|61.4|490.0|1622.0|197.0|397.0|1.0|164.0|55.0|83.0|0.245|0.287|0.292|0.58|65.0|64.0|59.0|4.11|92.0|1.441|142.0|118.0|3.0|1076.2|1217.0|30.0|334.0|171.0|516O94/H87|False|3
184|Bobby Lowe|36.0|23.0|18.0|20.3|16.6|18.5|57.1|1821.0|7078.0|1135.0|1934.0|71.0|989.0|303.0|474.0|0.273|0.325|0.36|0.685|87.0|0.0|0.0|9.0|57.0|4.0|1.0|0.0|0.0|1.0|3.0|0.0|1.0|0.0|*4O56/7H3981|False|2
185|Carl Hubbell|175.0|51.0|16.0|68.5|47.7|58.1|61.4|535.0|1288.0|95.0|246.0|4.0|101.0|1.0|33.0|0.191|0.212|0.227|0.439|18.0|253.0|154.0|2.98|130.0|1.166|535.0|433.0|33.0|3590.1|3461.0|227.0|725.0|1677.0|*1|True|3
186|Dizzy Dean|112.0|33.0|12.0|46.2|44.1|45.1|61.4|325.0|717.0|76.0|161.0|8.0|76.0|5.0|9.0|0.225|0.235|0.301|0.536|43.0|150.0|83.0|3.02|131.0|1.206|317.0|230.0|31.0|1967.1|1919.0|95.0|453.0|1163.0|*1/H|True|9
187|Bill Dickey|178.0|56.0|17.0|56.4|35.5|45.9|44.2|1789.0|6300.0|930.0|1969.0|202.0|1209.0|36.0|678.0|0.313|0.382|0.486|0.868|127.0||||||||| |||||*2H|True|9
188|Lefty Gomez|128.0|34.0|14.0|38.7|36.1|37.4|61.4|368.0|904.0|59.0|133.0|0.0|58.0|1.0|50.0|0.147|0.194|0.159|0.353|-7.0|189.0|102.0|3.34|125.0|1.352|368.0|320.0|10.0|2503.0|2290.0|138.0|1095.0|1468.0|*1|False|15
189|Ted Lyons|65.0|30.0|21.0|70.5|40.7|55.6|61.4|705.0|1563.0|162.0|364.0|5.0|149.0|0.0|73.0|0.233|0.27|0.285|0.556|45.0|260.0|230.0|3.67|118.0|1.348|594.0|484.0|25.0|4161.0|4489.0|222.0|1121.0|1073.0|*1H/9|True|10
190|Hank Greenberg|188.0|46.0|13.0|55.5|46.5|51.0|53.8|1394.0|5193.0|1046.0|1628.0|331.0|1274.0|58.0|852.0|0.313|0.412|0.605|1.017|159.0||||||||| |||||*37/H|True|9
191|Bill McKechnie|7.0|1.0|11.0|3.4|6.2|4.8|55.7|846.0|2843.0|319.0|713.0|8.0|240.0|127.0|190.0|0.251|0.301|0.313|0.614|78.0||||||||| |||||*5436H/89|False|4
192|Cy Seymour|46.0|22.0|16.0|31.6|27.9|29.8|58.1|1529.0|5686.0|737.0|1724.0|52.0|799.0|222.0|354.0|0.303|0.347|0.405|0.752|118.0|61.0|56.0|3.73|102.0|1.554|141.0|124.0|1.0|1038.0|954.0|25.0|659.0|591.0|*O*891H/3754|False|1
193|Van Mungo|34.0|12.0|14.0|32.9|29.5|31.2|61.4|410.0|787.0|56.0|174.0|0.0|74.0|1.0|29.0|0.221|0.25|0.262|0.511|40.0|120.0|115.0|3.47|110.0|1.337|364.0|259.0|16.0|2113.0|1957.0|89.0|868.0|1242.0|*1H/79|False|4
194|Steve Yerkes|5.0|3.0|7.0|6.9|6.9|6.9|55.4|711.0|2521.0|307.0|676.0|6.0|254.0|54.0|207.0|0.268|0.328|0.35|0.677|95.0||||||||| |||||*46/H5|False|1
195|Johnny Vander Meer|33.0|12.0|13.0|25.7|24.9|25.3|61.4|382.0|685.0|58.0|104.0|1.0|26.0|1.0|41.0|0.152|0.2|0.18|0.379|6.0|119.0|121.0|3.44|107.0|1.393|346.0|286.0|2.0|2104.2|1799.0|100.0|1132.0|1294.0|*1H|False|12
196|Billy Southworth|11.0|19.0|13.0|21.7|20.4|21.0|56.7|1192.0|4359.0|661.0|1296.0|52.0|561.0|138.0|402.0|0.297|0.359|0.415|0.773|111.0||||||||| |||||*987H/4|False|8
197|Howie Camnitz|51.0|24.0|11.0|15.9|18.2|17.0|61.4|326.0|677.0|42.0|92.0|1.0|33.0|1.0|37.0|0.136|0.183|0.152|0.335|-2.0|133.0|106.0|2.75|107.0|1.203|326.0|237.0|15.0|2085.1|1852.0|41.0|656.0|915.0|*1|False|1
198|Bill Sweeney|10.0|16.0|8.0|13.7|14.1|13.9|57.1|1039.0|3692.0|442.0|1004.0|11.0|388.0|172.0|423.0|0.272|0.349|0.344|0.693|102.0||||||||| |||||*456/3H798|False|1
199|Jesse Tannehill|92.0|41.0|15.0|47.0|41.2|44.1|61.4|507.0|1414.0|190.0|361.0|5.0|142.0|19.0|105.0|0.255|0.31|0.337|0.648|89.0|197.0|117.0|2.8|114.0|1.186|359.0|321.0|7.0|2759.1|2794.0|40.0|478.0|944.0|*1OH/798|False|2
200|Joe Gordon|88.0|31.0|11.0|55.8|44.9|50.3|57.1|1566.0|5707.0|914.0|1530.0|253.0|975.0|89.0|759.0|0.268|0.357|0.466|0.822|120.0||||||||| |||||*43/H6|False|12
201|Joe DiMaggio|269.0|59.0|13.0|79.2|52.1|65.6|58.1|1736.0|6821.0|1390.0|2214.0|361.0|1537.0|30.0|790.0|0.325|0.398|0.579|0.977|155.0||||||||| |||||*87/9H3|True|4
202|Tony Lazzeri|89.0|39.0|14.0|47.6|34.0|40.8|57.1|1740.0|6297.0|986.0|1840.0|178.0|1194.0|148.0|869.0|0.292|0.38|0.467|0.846|121.0||||||||| |||||*456H/73|False|14
203|Charlie Root|61.0|28.0|17.0|37.5|26.3|31.9|61.4|632.0|1086.0|86.0|196.0|11.0|93.0|1.0|44.0|0.18|0.217|0.266|0.483|28.0|201.0|160.0|3.59|111.0|1.295|632.0|341.0|42.0|3197.1|3252.0|189.0|889.0|1459.0|*1|False|6
204|Harry Davis|47.0|17.0|22.0|38.3|28.2|33.3|53.8|1755.0|6653.0|1001.0|1841.0|75.0|951.0|285.0|525.0|0.277|0.335|0.408|0.743|119.0||||||||| |||||*3O5/H8476|False|2
205|Wid Conroy|5.0|10.0|11.0|21.8|17.7|19.8|55.7|1374.0|5061.0|605.0|1257.0|22.0|452.0|262.0|345.0|0.248|0.301|0.329|0.629|91.0||||||||| |||||*5*6784/H93|False|1
206|Claude Ritchey|12.0|18.0|13.0|34.7|26.0|30.4|57.1|1672.0|5923.0|709.0|1619.0|18.0|675.0|155.0|607.0|0.273|0.348|0.342|0.69|102.0||||||||| |||||*46/OH9|False|1
207|Paul Waner|253.0|61.0|20.0|74.7|43.3|59.0|56.7|2549.0|9459.0|1627.0|3152.0|113.0|1309.0|104.0|1091.0|0.333|0.404|0.473|0.878|134.0||||||||| |||||*9H3/78|True|6
208|Tully Sparks|33.0|18.0|12.0|19.7|20.8|20.3|61.4|314.0|801.0|45.0|92.0|0.0|41.0|0.0|52.0|0.115|0.172|0.145|0.317|-5.0|121.0|137.0|2.82|103.0|1.229|314.0|270.0|8.0|2343.2|2250.0|33.0|630.0|780.0|*1|False|1
209|John Clarkson|256.0|65.0|12.0|83.2|74.7|78.9|61.4|546.0|1974.0|254.0|432.0|24.0|232.0|31.0|81.0|0.219|0.25|0.319|0.569|61.0|328.0|178.0|2.81|133.0|1.209|531.0|518.0|5.0|4536.1|4295.0|159.0|1191.0|1978.0|*1/O53|False|1
210|Muddy Ruel|49.0|28.0|19.0|20.9|19.6|20.3|44.2|1468.0|4514.0|494.0|1242.0|4.0|536.0|61.0|606.0|0.275|0.365|0.332|0.697|83.0||||||||| |||||*2H/3|False|10
