|player|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary|is_in_hof|years_on_ballot
312|Hughie Critz|11.0|14.0|12.0|16.5|17.5|17.0|57.1|1478.0|5930.0|832.0|1591.0|38.0|531.0|97.0|289.0|0.268|0.303|0.352|0.656|74.0||||||||| |||||*4/H6|False|1
313|Riggs Stephenson|57.0|32.0|14.0|32.6|24.9|28.8|53.4|1310.0|4508.0|714.0|1515.0|63.0|773.0|53.0|494.0|0.336|0.407|0.473|0.88|129.0||||||||| |||||*74H5/9|False|4
314|Jim Tobin|11.0|8.0|9.0|25.9|23.7|24.8|61.4|396.0|796.0|81.0|183.0|17.0|102.0|1.0|80.0|0.23|0.303|0.345|0.648|83.0|105.0|112.0|3.44|106.0|1.308|287.0|227.0|5.0|1900.0|1929.0|107.0|557.0|498.0|1H/3|False|1
315|Wally Berger|60.0|29.0|11.0|42.5|35.9|39.2|58.1|1350.0|5163.0|809.0|1550.0|242.0|898.0|36.0|435.0|0.3|0.359|0.522|0.881|138.0||||||||| |||||*8*7H/39|False|2
316|Tony Cuccinello|21.0|20.0|15.0|33.9|27.2|30.5|57.1|1704.0|6184.0|730.0|1729.0|94.0|884.0|42.0|579.0|0.28|0.343|0.394|0.737|104.0||||||||| |||||*4*5H/6|False|2
317|Rick Ferrell|109.0|34.0|18.0|30.8|20.9|25.9|44.2|1884.0|6028.0|687.0|1692.0|28.0|734.0|29.0|931.0|0.281|0.378|0.363|0.741|95.0||||||||| |||||*2H|False|3
318|Joe Kuhel|29.0|25.0|18.0|30.2|23.5|26.9|53.8|2104.0|7984.0|1236.0|2212.0|131.0|1049.0|178.0|980.0|0.277|0.359|0.406|0.765|104.0||||||||| |||||*3H|False|1
319|Marty Marion|57.0|17.0|13.0|31.9|25.8|28.8|55.4|1572.0|5506.0|602.0|1448.0|36.0|624.0|35.0|470.0|0.263|0.323|0.345|0.668|81.0||||||||| |||||*6/H5|False|12
320|Johnny Mostil|34.0|20.0|10.0|24.2|24.5|24.4|58.1|972.0|3507.0|618.0|1054.0|23.0|375.0|176.0|415.0|0.301|0.386|0.427|0.812|113.0||||||||| |||||*8H9/7456|False|2
321|Allie Reynolds|110.0|33.0|13.0|25.4|21.0|23.2|61.4|475.0|857.0|56.0|140.0|1.0|79.0|1.0|61.0|0.163|0.223|0.198|0.422|18.0|182.0|107.0|3.3|109.0|1.386|434.0|309.0|48.0|2492.1|2193.0|133.0|1261.0|1423.0|*1H|False|13
322|Phil Rizzuto|87.0|23.0|13.0|42.2|34.7|38.4|55.4|1661.0|5816.0|877.0|1588.0|38.0|563.0|149.0|651.0|0.273|0.351|0.355|0.706|93.0||||||||| |||||*6/H4|False|14
323|Gus Suhr|22.0|15.0|11.0|22.3|20.5|21.4|53.8|1435.0|5176.0|714.0|1446.0|84.0|818.0|53.0|718.0|0.279|0.368|0.428|0.796|113.0||||||||| |||||*3H/9|False|3
324|Jim Turner|19.0|13.0|9.0|12.2|13.0|12.6|61.4|238.0|399.0|32.0|87.0|1.0|22.0|0.0|8.0|0.218|0.241|0.271|0.512|44.0|69.0|60.0|3.22|111.0|1.242|231.0|119.0|20.0|1132.0|1123.0|67.0|283.0|329.0|1/H|False|1
325|George Uhle|52.0|21.0|17.0|55.7|44.5|50.1|61.4|722.0|1360.0|172.0|393.0|9.0|190.0|6.0|98.0|0.289|0.339|0.384|0.722|86.0|200.0|166.0|3.99|106.0|1.405|513.0|368.0|27.0|3119.2|3417.0|119.0|966.0|1135.0|*1H|False|3
326|Burgess Whitehead|12.0|1.0|9.0|6.4|8.2|7.3|57.1|924.0|3316.0|415.0|883.0|17.0|245.0|51.0|150.0|0.266|0.304|0.331|0.634|71.0||||||||| |||||*45H6|False|1
327|Earl Whitehill|32.0|20.0|17.0|36.8|27.1|31.9|61.4|548.0|1291.0|107.0|264.0|4.0|98.0|3.0|97.0|0.204|0.261|0.242|0.503|31.0|218.0|185.0|4.36|100.0|1.5|541.0|473.0|11.0|3564.2|3917.0|192.0|1431.0|1350.0|*1/H9|False|4
328|Ken Williams|68.0|39.0|14.0|43.0|36.8|39.9|53.4|1397.0|4862.0|860.0|1552.0|196.0|916.0|154.0|566.0|0.319|0.393|0.53|0.924|138.0||||||||| |||||*78H/349|False|2
329|Schoolboy Rowe|64.0|22.0|15.0|42.5|35.5|39.0|61.4|491.0|909.0|114.0|239.0|18.0|153.0|3.0|86.0|0.263|0.328|0.382|0.71|88.0|158.0|101.0|3.87|110.0|1.302|382.0|278.0|12.0|2219.1|2332.0|131.0|558.0|913.0|*1H|False|4
330|Birdie Tebbetts|17.0|25.0|14.0|3.9|6.2|5.0|44.2|1162.0|3704.0|357.0|1000.0|38.0|469.0|29.0|389.0|0.27|0.341|0.358|0.7|81.0||||||||| |||||*2H|False|2
331|Carl Mays|114.0|41.0|15.0|51.2|39.3|45.3|61.4|502.0|1085.0|113.0|291.0|5.0|111.0|1.0|66.0|0.268|0.313|0.35|0.663|82.0|207.0|126.0|2.92|119.0|1.207|490.0|325.0|31.0|3021.1|2912.0|73.0|734.0|862.0|*1/H|False|1
332|Pete Reiser|39.0|17.0|10.0|24.5|24.3|24.4|58.1|861.0|2662.0|473.0|786.0|58.0|368.0|87.0|343.0|0.295|0.38|0.45|0.829|128.0||||||||| |||||*87H5/96|False|2
333|Bullet Joe Bush|63.0|22.0|17.0|37.2|33.6|35.4|61.4|580.0|1239.0|128.0|313.0|7.0|140.0|4.0|53.0|0.253|0.283|0.345|0.628|72.0|196.0|184.0|3.51|100.0|1.378|488.0|370.0|20.0|3085.1|2990.0|96.0|1263.0|1318.0|*1H/798|False|1
334|Orval Grove|6.0|4.0|10.0|1.7|4.0|2.9|61.4|207.0|373.0|23.0|48.0|1.0|19.0|0.0|31.0|0.129|0.201|0.158|0.36|4.0|63.0|73.0|3.78|92.0|1.429|207.0|152.0|4.0|1176.2|1237.0|62.0|444.0|374.0|1|False|2
335|Moe Berg|0.0|0.0|15.0|-4.6|0.8|-1.9|44.2|663.0|1813.0|150.0|441.0|6.0|206.0|12.0|78.0|0.243|0.278|0.299|0.577|49.0||||||||| |||||*26H/453|False|2
336|Cookie Lavagetto|16.0|16.0|10.0|12.9|13.4|13.1|55.7|1043.0|3509.0|487.0|945.0|40.0|486.0|63.0|485.0|0.269|0.36|0.377|0.737|99.0||||||||| |||||*54H/36|False|2
337|Bill Doak|48.0|22.0|16.0|23.3|23.8|23.6|61.4|453.0|905.0|40.0|115.0|1.0|30.0|0.0|30.0|0.127|0.157|0.158|0.315|-9.0|169.0|157.0|2.98|107.0|1.267|453.0|369.0|16.0|2782.2|2676.0|71.0|851.0|1014.0|*1|False|1
338|Frankie Gustine|12.0|14.0|12.0|8.6|11.6|10.1|55.7|1261.0|4582.0|553.0|1214.0|38.0|480.0|60.0|369.0|0.265|0.322|0.359|0.681|87.0||||||||| |||||*4*5*6H/23|False|1
339|Willie Kamm|5.0|20.0|13.0|35.5|26.2|30.8|55.7|1693.0|5851.0|802.0|1643.0|29.0|827.0|126.0|824.0|0.281|0.372|0.384|0.756|97.0||||||||| |||||*5/H|False|2
340|Tommy Holmes|55.0|22.0|11.0|35.5|32.4|34.0|56.7|1320.0|4992.0|698.0|1507.0|88.0|581.0|40.0|480.0|0.302|0.366|0.432|0.798|122.0||||||||| |||||*9*8H7|False|2
341|Freddy Leach|22.0|17.0|10.0|7.7|9.5|8.6|53.4|991.0|3733.0|543.0|1147.0|72.0|509.0|32.0|163.0|0.307|0.341|0.446|0.787|101.0||||||||| |||||*7*8H9/3|False|2
342|Marty McManus|26.0|30.0|15.0|34.1|24.3|29.2|57.1|1831.0|6660.0|1008.0|1926.0|120.0|992.0|126.0|675.0|0.289|0.357|0.43|0.787|102.0||||||||| |||||*4*53H6/9|False|2
343|Lee Meadows|39.0|20.0|15.0|28.3|25.1|26.7|61.4|498.0|1117.0|80.0|201.0|5.0|75.0|0.0|34.0|0.18|0.208|0.23|0.438|21.0|188.0|180.0|3.37|106.0|1.34|490.0|406.0|7.0|3160.2|3280.0|85.0|956.0|1063.0|*1/H|False|1
344|Cy Perkins|0.0|23.0|17.0|11.8|13.2|12.5|44.2|1171.0|3604.0|329.0|933.0|30.0|409.0|18.0|301.0|0.259|0.319|0.352|0.67|76.0||||||||| |||||*2H/6345|False|1
345|Sparky Adams|17.0|19.0|13.0|17.5|15.7|16.6|57.1|1424.0|5557.0|844.0|1588.0|9.0|394.0|154.0|453.0|0.286|0.343|0.353|0.695|82.0||||||||| |||||*4*56H/79|False|2
346|Jimmy Austin|0.0|13.0|18.0|22.8|18.0|20.4|55.7|1580.0|5388.0|661.0|1328.0|13.0|390.0|244.0|592.0|0.246|0.326|0.314|0.64|90.0||||||||| |||||*56H/49|False|1
347|Larry Benton|21.0|7.0|13.0|17.3|18.0|17.7|61.4|462.0|738.0|54.0|122.0|2.0|42.0|1.0|30.0|0.165|0.202|0.195|0.397|6.0|128.0|128.0|4.03|98.0|1.415|455.0|261.0|20.0|2297.0|2559.0|108.0|691.0|670.0|*1/H|False|1
348|Ray Blades|22.0|21.0|10.0|15.4|15.5|15.4|53.4|767.0|2415.0|467.0|726.0|50.0|340.0|33.0|331.0|0.301|0.395|0.46|0.855|123.0||||||||| |||||*7H9/5468|False|2
349|George Case|48.0|14.0|11.0|18.1|18.5|18.3|56.7|1226.0|5016.0|785.0|1415.0|21.0|377.0|349.0|426.0|0.282|0.341|0.358|0.699|95.0||||||||| |||||*7*98H|False|4
350|Sam Chapman|12.0|17.0|11.0|17.2|16.9|17.0|58.1|1368.0|4988.0|754.0|1329.0|180.0|773.0|41.0|562.0|0.266|0.342|0.438|0.78|107.0||||||||| |||||*87H/39|False|1
351|General Crowder|66.0|20.0|11.0|27.9|28.6|28.2|61.4|403.0|847.0|66.0|164.0|0.0|60.0|0.0|37.0|0.194|0.227|0.227|0.454|18.0|167.0|115.0|4.12|105.0|1.388|402.0|292.0|22.0|2344.1|2453.0|137.0|800.0|799.0|*1/H|False|2
352|Harry Danning|25.0|8.0|10.0|14.6|15.1|14.9|44.2|890.0|2971.0|363.0|847.0|57.0|397.0|13.0|187.0|0.285|0.33|0.415|0.745|104.0||||||||| |||||*2H/3|False|2
353|Curt Davis|33.0|20.0|13.0|39.2|32.4|35.8|61.4|449.0|813.0|70.0|165.0|11.0|81.0|1.0|28.0|0.203|0.229|0.264|0.494|33.0|158.0|131.0|3.42|116.0|1.264|429.0|280.0|33.0|2325.0|2459.0|142.0|479.0|684.0|*1/H|False|1
354|Jumbo Elliott|6.0|3.0|10.0|8.4|10.1|9.3|61.4|253.0|416.0|26.0|68.0|4.0|37.0|0.0|21.0|0.163|0.205|0.219|0.424|10.0|63.0|74.0|4.24|100.0|1.452|252.0|144.0|12.0|1206.2|1338.0|69.0|414.0|453.0|1/H|False|1
355|George Grantham|36.0|31.0|13.0|33.4|25.6|29.5|57.1|1444.0|4989.0|912.0|1508.0|105.0|712.0|132.0|717.0|0.302|0.392|0.461|0.854|122.0||||||||| |||||*4*3H/75|False|1
356|Ken Keltner|37.0|19.0|13.0|33.3|28.3|30.8|55.7|1526.0|5683.0|737.0|1570.0|163.0|852.0|39.0|514.0|0.276|0.338|0.441|0.778|112.0||||||||| |||||*5/H3|False|2
357|Red Kress|24.0|21.0|14.0|14.7|15.9|15.3|55.4|1391.0|5087.0|691.0|1454.0|89.0|799.0|46.0|474.0|0.286|0.347|0.42|0.767|97.0|0.0|0.0|12.54|34.0|2.036|4.0|0.0|0.0|9.1|13.0|1.0|6.0|6.0|*6539H4/71|False|2
358|Gus Mancuso|35.0|24.0|17.0|10.5|12.7|11.6|44.2|1460.0|4505.0|386.0|1194.0|53.0|543.0|8.0|418.0|0.265|0.328|0.351|0.679|84.0||||||||| |||||*2H|False|1
359|Bing Miller|38.0|30.0|16.0|29.5|21.4|25.5|56.7|1820.0|6212.0|946.0|1934.0|116.0|993.0|127.0|383.0|0.311|0.359|0.461|0.82|108.0||||||||| |||||*9*78H/3|False|2
360|Wally Moses|45.0|28.0|17.0|36.5|26.2|31.3|56.7|2012.0|7356.0|1124.0|2138.0|89.0|679.0|174.0|821.0|0.291|0.364|0.416|0.779|109.0||||||||| |||||*9H8/7|False|6
361|Monte Pearson|36.0|14.0|10.0|20.6|20.6|20.6|61.4|225.0|513.0|58.0|117.0|2.0|62.0|2.0|39.0|0.228|0.283|0.29|0.573|46.0|100.0|61.0|4.0|112.0|1.491|224.0|191.0|4.0|1429.2|1392.0|82.0|740.0|703.0|1/H|False|1
362|Wally Pipp|28.0|18.0|15.0|31.7|23.6|27.7|53.8|1872.0|6914.0|974.0|1941.0|90.0|1004.0|125.0|596.0|0.281|0.341|0.408|0.749|104.0||||||||| |||||*3H|False|1
363|Jack Scott|14.0|5.0|12.0|16.9|16.4|16.7|61.4|408.0|680.0|67.0|187.0|5.0|73.0|1.0|39.0|0.275|0.319|0.354|0.673|84.0|103.0|109.0|3.85|95.0|1.357|356.0|195.0|19.0|1814.2|1969.0|95.0|493.0|657.0|*1H/9|False|1
364|Rip Sewell|42.0|21.0|13.0|26.9|23.6|25.3|61.4|423.0|750.0|81.0|152.0|6.0|59.0|12.0|37.0|0.203|0.241|0.264|0.505|40.0|143.0|97.0|3.48|108.0|1.344|390.0|243.0|15.0|2119.1|2101.0|116.0|748.0|636.0|*1H|False|3
365|Warren Spahn|260.0|66.0|21.0|100.1|51.4|75.8|61.4|783.0|1872.0|141.0|363.0|35.0|189.0|4.0|94.0|0.194|0.234|0.287|0.52|43.0|363.0|245.0|3.09|119.0|1.195|750.0|665.0|28.0|5243.2|4830.0|434.0|1434.0|2583.0|*1H|True|1
366|Clyde Sukeforth|0.0|2.0|10.0|0.6|1.8|1.2|44.2|486.0|1237.0|122.0|326.0|2.0|96.0|12.0|95.0|0.264|0.319|0.331|0.65|72.0||||||||| |||||*2H|False|1
367|Rube Walberg|31.0|9.0|15.0|36.7|27.3|32.0|61.4|547.0|905.0|78.0|162.0|4.0|84.0|2.0|48.0|0.179|0.22|0.232|0.452|15.0|155.0|141.0|4.16|107.0|1.447|544.0|306.0|34.0|2644.0|2795.0|163.0|1031.0|1085.0|*1/H|False|2
368|Harry Walker|24.0|12.0|11.0|12.4|13.2|12.8|58.1|807.0|2651.0|385.0|786.0|10.0|214.0|42.0|245.0|0.296|0.358|0.383|0.741|103.0||||||||| |||||*8H79/345|False|1
369|Whit Wyatt|41.0|9.0|16.0|24.1|26.8|25.4|61.4|366.0|607.0|53.0|133.0|7.0|69.0|0.0|26.0|0.219|0.254|0.303|0.557|50.0|106.0|95.0|3.79|106.0|1.321|360.0|210.0|13.0|1761.0|1684.0|98.0|642.0|872.0|*1/H|False|1
370|Pep Young|1.0|3.0|10.0|5.6|6.8|6.2|57.1|730.0|2466.0|274.0|645.0|32.0|347.0|18.0|152.0|0.262|0.308|0.38|0.688|85.0||||||||| |||||*4H65/97|False|1
371|Tom Zachary|32.0|15.0|19.0|39.9|29.6|34.8|61.4|546.0|1122.0|79.0|254.0|6.0|112.0|0.0|62.0|0.226|0.268|0.289|0.557|48.0|186.0|191.0|3.73|107.0|1.437|533.0|408.0|23.0|3126.1|3580.0|118.0|914.0|720.0|*1/H|False|2
372|Johnny Mize|175.0|47.0|15.0|70.7|48.5|59.6|53.8|1884.0|6443.0|1118.0|2011.0|359.0|1337.0|28.0|856.0|0.312|0.397|0.562|0.959|158.0||||||||| |||||*3H/9|False|11
373|Harry Brecheen|67.0|27.0|12.0|42.2|32.6|37.4|61.4|321.0|673.0|48.0|129.0|2.0|44.0|0.0|45.0|0.192|0.247|0.235|0.481|30.0|133.0|92.0|2.92|133.0|1.188|318.0|240.0|18.0|1907.2|1731.0|116.0|536.0|901.0|*1/H|False|7
374|Bobo Newsom|69.0|23.0|20.0|47.8|36.4|42.1|61.4|609.0|1337.0|87.0|253.0|1.0|102.0|1.0|17.0|0.189|0.2|0.217|0.417|10.0|211.0|222.0|3.98|107.0|1.463|600.0|483.0|21.0|3759.1|3769.0|206.0|1732.0|2082.0|*1/H|False|11
375|Dom DiMaggio|64.0|28.0|11.0|33.6|28.2|30.9|58.1|1399.0|5640.0|1046.0|1680.0|87.0|618.0|100.0|750.0|0.298|0.383|0.419|0.802|111.0||||||||| |||||*8/H97|False|9
376|Hal White|1.0|5.0|12.0|10.0|11.5|10.7|32.5|337.0|255.0|15.0|37.0|0.0|7.0|0.0|16.0|0.145|0.199|0.173|0.371|1.0|46.0|54.0|3.79|106.0|1.44|336.0|67.0|25.0|920.0|875.0|47.0|450.0|349.0|*1/H|False|1
377|Ralph Kiner|137.0|35.0|10.0|48.1|42.7|45.4|53.4|1472.0|5205.0|971.0|1451.0|369.0|1015.0|22.0|1011.0|0.279|0.398|0.548|0.946|149.0||||||||| |||||*783H|True|13
378|Eddie Stanky|27.0|27.0|11.0|41.4|37.6|39.5|57.1|1259.0|4301.0|811.0|1154.0|29.0|364.0|48.0|996.0|0.268|0.41|0.348|0.758|109.0||||||||| |||||*4H6/5|False|1
379|Hank Edwards|4.0|9.0|11.0|10.9|11.0|10.9|56.7|735.0|2191.0|285.0|613.0|51.0|276.0|9.0|208.0|0.28|0.343|0.44|0.783|118.0||||||||| |||||*9H78|False|1
380|Bob Elliott|62.0|34.0|15.0|51.0|35.0|43.0|55.7|1978.0|7141.0|1064.0|2061.0|170.0|1195.0|60.0|967.0|0.289|0.375|0.44|0.815|124.0||||||||| |||||*5*9H78/46|False|3
381|Dutch Leonard|45.0|24.0|20.0|48.9|32.7|40.8|61.4|640.0|1054.0|53.0|177.0|0.0|69.0|1.0|20.0|0.168|0.185|0.193|0.378|4.0|191.0|181.0|3.25|119.0|1.256|640.0|375.0|45.0|3218.1|3304.0|158.0|737.0|1170.0|*1|False|7
382|Bill Nicholson|50.0|22.0|16.0|41.8|33.6|37.7|56.7|1677.0|5546.0|837.0|1484.0|235.0|948.0|27.0|800.0|0.268|0.365|0.465|0.83|132.0||||||||| |||||*9H7|False|1
383|Johnny Pesky|71.0|33.0|10.0|34.3|33.2|33.7|55.4|1270.0|4745.0|867.0|1455.0|17.0|404.0|53.0|662.0|0.307|0.394|0.386|0.78|107.0||||||||| |||||*6*54H|False|1
384|Preacher Roe|55.0|21.0|12.0|29.7|30.2|30.0|61.4|333.0|620.0|37.0|68.0|1.0|28.0|0.0|38.0|0.11|0.161|0.119|0.28|-24.0|127.0|84.0|3.43|116.0|1.259|333.0|261.0|10.0|1914.1|1907.0|199.0|504.0|956.0|*1|False|6
385|Sibby Sisti|0.0|9.0|13.0|2.3|4.2|3.3|57.1|1016.0|2999.0|401.0|732.0|27.0|260.0|30.0|283.0|0.244|0.313|0.324|0.637|80.0||||||||| |||||*456H9/783|False|1
386|Bob Feller|180.0|51.0|18.0|63.5|51.6|57.5|61.4|570.0|1282.0|99.0|193.0|8.0|99.0|1.0|100.0|0.151|0.214|0.211|0.425|15.0|266.0|162.0|3.25|122.0|1.316|570.0|484.0|22.0|3827.0|3271.0|224.0|1764.0|2581.0|*1|True|1
387|Jackie Robinson|106.0|40.0|11.0|63.8|51.4|57.6|57.1|1416.0|4997.0|972.0|1563.0|141.0|761.0|200.0|756.0|0.313|0.41|0.477|0.887|133.0||||||||| |||||*4537H6/9|True|1
388|Hal Newhouser|140.0|34.0|17.0|62.7|52.7|57.7|61.4|492.0|999.0|70.0|201.0|2.0|81.0|3.0|89.0|0.201|0.267|0.233|0.5|36.0|207.0|150.0|3.06|130.0|1.311|488.0|374.0|26.0|2993.0|2674.0|136.0|1249.0|1796.0|*1/H|False|12
389|Phil Cavarretta|42.0|22.0|22.0|37.0|26.4|31.7|53.8|2030.0|6754.0|990.0|1977.0|95.0|920.0|65.0|820.0|0.293|0.372|0.416|0.788|118.0||||||||| |||||*3H897|False|12
390|Dixie Walker|83.0|35.0|18.0|44.9|31.3|38.1|56.7|1905.0|6740.0|1038.0|2064.0|105.0|1023.0|59.0|817.0|0.306|0.383|0.437|0.82|121.0||||||||| |||||*9*87H/3|False|4
391|Billy Cox|3.0|13.0|11.0|10.1|10.1|10.1|55.7|1058.0|3712.0|470.0|974.0|66.0|351.0|42.0|298.0|0.262|0.318|0.38|0.698|85.0||||||||| |||||*56H4|False|1
392|Rudy York|69.0|28.0|13.0|31.7|27.1|29.4|53.8|1603.0|5891.0|876.0|1621.0|277.0|1149.0|38.0|792.0|0.275|0.362|0.483|0.845|123.0||||||||| |||||*32H5/7|False|2
393|Johnny Sain|55.0|17.0|11.0|29.4|31.1|30.2|61.4|433.0|774.0|69.0|190.0|3.0|101.0|0.0|24.0|0.245|0.27|0.304|0.574|58.0|139.0|116.0|3.49|107.0|1.3|412.0|245.0|53.0|2125.2|2145.0|179.0|619.0|910.0|*1/H|False|10
394|Vic Raschi|82.0|25.0|10.0|16.6|16.4|16.5|61.4|269.0|608.0|45.0|112.0|1.0|50.0|0.0|47.0|0.184|0.243|0.217|0.46|25.0|132.0|66.0|3.72|105.0|1.316|269.0|255.0|3.0|1819.0|1666.0|138.0|727.0|944.0|1|False|9
395|Fred Hutchinson|13.0|14.0|11.0|26.0|25.1|25.5|61.4|354.0|650.0|71.0|171.0|4.0|83.0|6.0|66.0|0.263|0.334|0.326|0.66|75.0|95.0|71.0|3.73|113.0|1.281|242.0|169.0|7.0|1464.0|1487.0|127.0|388.0|591.0|1H/3|False|2
396|Roy Campanella|152.0|43.0|18.0|41.8|35.0|38.4|44.2|1432.0|4956.0|771.0|1403.0|259.0|1015.0|35.0|608.0|0.283|0.364|0.498|0.861|126.0|1.0|0.0|5.28|79.0|1.239|2.0|2.0|0.0|15.1|13.0|1.0|6.0|16.0|*2H/97815|True|5
397|Pee Wee Reese|100.0|39.0|16.0|68.4|42.0|55.2|55.4|2166.0|8058.0|1338.0|2170.0|126.0|885.0|232.0|1210.0|0.269|0.366|0.377|0.743|99.0||||||||| |||||*65H|False|14
398|George Kell|90.0|29.0|15.0|37.6|28.1|32.8|55.7|1795.0|6702.0|880.0|2054.0|78.0|870.0|51.0|621.0|0.306|0.367|0.414|0.781|112.0||||||||| |||||*53H/749|False|13
399|Bob Lemon|118.0|34.0|15.0|48.2|38.7|43.5|61.4|615.0|1183.0|148.0|274.0|37.0|147.0|2.0|93.0|0.232|0.288|0.386|0.674|83.0|207.0|128.0|3.23|119.0|1.337|460.0|350.0|22.0|2850.0|2559.0|180.0|1251.0|1277.0|*1H/859|True|12
400|Sal Maglie|49.0|27.0|10.0|30.5|27.3|28.9|61.4|304.0|563.0|29.0|76.0|2.0|29.0|1.0|20.0|0.135|0.168|0.158|0.326|-13.0|119.0|62.0|3.15|127.0|1.25|303.0|232.0|14.0|1723.0|1591.0|169.0|562.0|862.0|*1/H|False|2
401|Virgil Trucks|45.0|28.0|17.0|40.5|31.4|35.9|61.4|517.0|949.0|63.0|171.0|2.0|70.0|1.0|9.0|0.18|0.189|0.213|0.402|8.0|177.0|135.0|3.39|117.0|1.306|517.0|328.0|30.0|2682.1|2416.0|188.0|1088.0|1534.0|*1|False|1
402|Ellis Kinder|17.0|15.0|12.0|28.9|24.5|26.7|32.5|484.0|444.0|34.0|63.0|1.0|33.0|0.0|23.0|0.142|0.184|0.169|0.353|-7.0|102.0|71.0|3.43|125.0|1.325|484.0|122.0|104.0|1479.2|1421.0|116.0|539.0|749.0|*1|False|1
403|Wes Westrum|17.0|8.0|11.0|12.6|13.3|13.0|44.2|919.0|2322.0|302.0|503.0|96.0|315.0|10.0|489.0|0.217|0.356|0.373|0.729|94.0||||||||| |||||*2/H5|False|1
404|Art Houtteman|13.0|4.0|12.0|11.4|14.2|12.8|61.4|330.0|513.0|37.0|99.0|2.0|37.0|2.0|14.0|0.193|0.214|0.232|0.446|19.0|87.0|91.0|4.14|99.0|1.39|325.0|181.0|20.0|1555.0|1646.0|136.0|516.0|639.0|*1/H|False|1
405|Dizzy Trout|52.0|18.0|15.0|49.8|38.0|43.9|61.4|535.0|961.0|99.0|205.0|20.0|110.0|7.0|59.0|0.213|0.26|0.319|0.579|56.0|170.0|161.0|3.23|124.0|1.353|521.0|322.0|38.0|2725.2|2641.0|112.0|1046.0|1256.0|*1/H|False|1
406|Steve Gromek|18.0|16.0|17.0|25.1|22.2|23.6|61.4|470.0|630.0|58.0|124.0|0.0|40.0|2.0|71.0|0.197|0.279|0.217|0.497|40.0|123.0|108.0|3.41|108.0|1.245|447.0|225.0|23.0|2064.2|1940.0|186.0|630.0|904.0|*1/H|False|1
407|Bob Kuzava|3.0|5.0|10.0|4.1|5.7|4.9|61.4|214.0|256.0|21.0|22.0|1.0|10.0|0.0|29.0|0.086|0.182|0.102|0.283|-21.0|49.0|44.0|4.05|98.0|1.466|213.0|99.0|13.0|862.0|849.0|54.0|415.0|446.0|1/H|False|1
408|Roy Smalley|0.0|3.0|11.0|2.3|3.3|2.8|55.4|872.0|2644.0|277.0|601.0|61.0|305.0|4.0|257.0|0.227|0.3|0.36|0.66|77.0||||||||| |||||*6H/435|False|1
409|Eddie Miksis|0.0|8.0|14.0|-3.0|1.3|-0.9|57.1|1042.0|3053.0|383.0|722.0|44.0|228.0|52.0|215.0|0.236|0.288|0.322|0.61|62.0||||||||| |||||*4H56897/3|False|1
410|Ron Northey|4.0|14.0|12.0|13.6|12.6|13.1|56.7|1084.0|3172.0|385.0|874.0|108.0|513.0|7.0|361.0|0.276|0.352|0.45|0.801|124.0||||||||| |||||*9H/75|False|1
411|Ted Williams|354.0|73.0|19.0|122.0|68.1|95.0|53.4|2292.0|7706.0|1798.0|2654.0|521.0|1839.0|24.0|2021.0|0.344|0.482|0.634|1.116|191.0|0.0|0.0|4.5|116.0|1.5|1.0|0.0|0.0|2.0|3.0|0.0|0.0|1.0|*79H/1|True|1
412|Enos Slaughter|90.0|41.0|19.0|57.8|37.4|47.6|56.7|2380.0|7946.0|1247.0|2383.0|169.0|1304.0|71.0|1018.0|0.3|0.382|0.453|0.834|124.0||||||||| |||||*9*7*H/8|False|14
413|Mickey Vernon|72.0|33.0|20.0|35.6|25.7|30.6|53.8|2409.0|8731.0|1196.0|2495.0|172.0|1311.0|137.0|955.0|0.286|0.359|0.428|0.787|116.0||||||||| |||||*3H/79|False|15
414|Al Dark|51.0|26.0|14.0|43.9|33.7|38.8|55.4|1828.0|7219.0|1064.0|2089.0|126.0|757.0|59.0|430.0|0.289|0.333|0.411|0.744|98.0|0.0|0.0|18.0|33.0|2.0|1.0|1.0|0.0|1.0|1.0|1.0|1.0|0.0|*6*5H7/4391|False|15
415|Bobby Thomson|31.0|21.0|15.0|33.8|27.5|30.6|58.1|1779.0|6305.0|903.0|1705.0|264.0|1026.0|38.0|559.0|0.27|0.332|0.462|0.794|110.0||||||||| |||||*8*75H9/43|False|14
416|Don Newcombe|83.0|28.0|12.0|38.9|34.8|36.8|61.4|471.0|917.0|99.0|246.0|15.0|109.0|2.0|90.0|0.268|0.336|0.361|0.697|83.0|153.0|96.0|3.57|114.0|1.207|360.0|305.0|7.0|2251.2|2188.0|255.0|530.0|1187.0|*1H|False|15
417|Larry Doby|81.0|36.0|17.0|56.5|39.4|47.9|58.1|1674.0|5883.0|1080.0|1697.0|273.0|1099.0|64.0|945.0|0.288|0.389|0.499|0.888|140.0||||||||| |||||*849H/7635|False|2
