|year|player|year_on_ballot|votes|votes_pct|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary
275|1971|Preacher Roe|5th|3|0.8%|55|21|12|29.7|30.2|30.0|61.4|333|620|37|68|1|28|0|38|.110|.161|.119|.280|-24|127|84|3.43|116|1.259|333|261|10|1914.1|1907|199|504|956|*1
276|1971|Dutch Leonard|5th|3|0.8%|45|24|20|48.9|32.7|40.8|61.4|640|1054|53|177|0|69|1|20|.168|.185|.193|.378|4|191|181|3.25|119|1.256|640|375|45|3218.1|3304|158|737|1170|*1
277|1971|Carl Erskine|5th|3|0.8%|48|18|12|13.9|15.1|14.5|61.4|360|588|51|92|1|31|0|12|.156|.175|.180|.355|-7|122|78|4.00|101|1.328|335|216|13|1718.2|1637|199|646|981|*1/H
278|1971|Vic Wertz|2nd|2|0.6%|35|26|17|27.1|21.7|24.4|56.7|1862|6099|867|1692|266|1178|9|828|.277|.364|.469|.833|122||||||||| |||||*9*3H7/8
279|1971|X-Wally Moon|1st|2|0.6%|25|21|12|24.9|25.7|25.3|53.4|1457|4843|737|1399|142|661|89|644|.289|.371|.445|.817|118||||||||| |||||*7*9H83
280|1971|Vic Raschi|5th|2|0.6%|82|25|10|16.6|16.4|16.5|61.4|269|608|45|112|1|50|0|47|.184|.243|.217|.460|25|132|66|3.72|105|1.316|269|255|3|1819.0|1666|138|727|944|1
281|1971|Vic Power|1st|2|0.6%|38|10|12|15.3|16.9|16.1|53.8|1627|6046|765|1716|126|658|45|279|.284|.315|.411|.725|97||||||||| |||||*345H87/96
282|1971|Jackie Jensen|5th|2|0.6%|56|25|11|27.9|24.7|26.3|56.7|1438|5236|810|1463|199|929|143|750|.279|.369|.460|.829|120||||||||| |||||*987H
283|1971|X-Bill Bruton|1st|1|0.3%|20|14|12|26.3|19.4|22.8|58.1|1610|6056|937|1651|94|545|207|482|.273|.328|.393|.720|96||||||||| |||||*8H/79
284|1972|Sandy Koufax|1st|344|86.9%|227|46|12|48.9|46.0|47.4|61.4|397|776|26|75|2|28|0|43|.097|.145|.116|.261|-26|165|87|2.76|131|1.106|397|314|9|2324.1|1754|204|817|2396|*1
