|year|player|year_on_ballot|votes|votes_pct|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary
364|1973|Curt Simmons|1st|5|1.3%|37|24|20|43.3|30.1|36.7|61.4|609|1135|93|194|1|76|2|59|.171|.213|.196|.408|11|193|183|3.54|111|1.307|569|462|5|3348.1|3313|255|1063|1697|*1H
365|1973|Billy Pierce|4th|4|1.1%|82|35|18|53.3|37.8|45.6|61.4|616|1102|94|203|0|69|1|65|.184|.232|.203|.435|19|211|169|3.27|119|1.260|585|433|33|3306.2|2989|284|1178|1999|*1H/3
366|1973|Carl Erskine|7th|4|1.1%|48|18|12|13.9|15.1|14.5|61.4|360|588|51|92|1|31|0|12|.156|.175|.180|.355|-7|122|78|4.00|101|1.328|335|216|13|1718.2|1637|199|646|981|*1/H
367|1973|Bobby Thomson|8th|3|0.8%|31|21|15|33.8|27.5|30.6|58.1|1779|6305|903|1705|264|1026|38|559|.270|.332|.462|.794|110||||||||| |||||*8*75H9/43
368|1973|X-Harry Brecheen|7th|3|0.8%|67|27|12|42.2|32.6|37.4|61.4|321|673|48|129|2|44|0|45|.192|.247|.235|.481|30|133|92|2.92|133|1.188|318|240|18|1907.2|1731|116|536|901|*1/H
369|1973|Bobby Richardson|2nd|2|0.5%|69|12|12|8.1|10.2|9.1|57.1|1412|5386|643|1432|34|390|73|262|.266|.299|.335|.634|77||||||||| |||||*4H5/6
370|1973|Gil McDougald|8th|2|0.5%|54|21|10|40.6|32.1|36.4|57.1|1336|4676|697|1291|112|576|45|559|.276|.356|.410|.766|111||||||||| |||||*4*56H
371|1973|Vic Wertz|4th|2|0.5%|35|26|17|27.1|21.7|24.4|56.7|1862|6099|867|1692|266|1178|9|828|.277|.364|.469|.833|122||||||||| |||||*9*3H7/8
372|1973|Harvey Haddix|3rd|1|0.3%|30|20|14|33.3|26.8|30.0|61.4|531|798|95|169|4|64|4|46|.212|.255|.296|.551|47|136|113|3.63|108|1.233|453|286|20|2235.0|2154|240|601|1575|*1H/9
373|1973|Smoky Burgess|1st|1|0.3%|46|34|18|33.4|23.4|28.4|44.2|1691|4471|485|1318|126|673|13|477|.295|.362|.446|.807|116||||||||| |||||*2*H
374|1974|Mickey Mantle|1st|322|88.2%|301|65|18|110.2|64.7|87.4|58.1|2401|8102|1676|2415|536|1509|153|1733|.298|.421|.557|.977|172||||||||| |||||*8397H/645
375|1974|Whitey Ford|2nd|284|77.8%|209|56|16|57.1|34.6|45.8|61.4|500|1023|91|177|3|69|3|113|.173|.256|.200|.457|28|236|106|2.75|133|1.215|498|438|11|3170.1|2766|228|1086|1956|*1/H
376|1974|Robin Roberts HOF|2nd|224|61.4%|128|47|19|86.1|55.1|70.6|61.4|688|1525|107|255|5|103|3|135|.167|.238|.226|.464|27|286|245|3.41|113|1.170|676|609|25|4688.2|4582|505|902|2357|*1/H
377|1974|Ralph Kiner HOF|12th|215|58.9%|137|35|10|48.1|42.7|45.4|53.4|1472|5205|971|1451|369|1015|22|1011|.279|.398|.548|.946|149||||||||| |||||*783H
378|1974|Gil Hodges HOF|6th|198|54.2%|83|32|18|43.9|33.7|38.8|53.8|2071|7030|1105|1921|370|1274|63|943|.273|.359|.487|.846|120||||||||| |||||*3H275/948
379|1974|Bob Lemon HOF|10th|190|52.1%|118|34|15|48.2|38.7|43.5|61.4|615|1183|148|274|37|147|2|93|.232|.288|.386|.674|83|207|128|3.23|119|1.337|460|350|22|2850.0|2559|180|1251|1277|*1H/859
380|1974|Enos Slaughter HOF|9th|145|39.7%|90|41|19|57.8|37.4|47.6|56.7|2380|7946|1247|2383|169|1304|71|1018|.300|.382|.453|.834|124||||||||| |||||*9*7*H/8
381|1974|Pee Wee Reese HOF|10th|141|38.6%|100|39|16|68.4|42.0|55.2|55.4|2166|8058|1338|2170|126|885|232|1210|.269|.366|.377|.743|99||||||||| |||||*65H
382|1974|Eddie Mathews HOF|1st|118|32.3%|162|54|17|96.1|53.9|75.0|55.7|2391|8537|1509|2315|512|1453|68|1444|.271|.376|.509|.885|143||||||||| |||||*53H7
383|1974|Phil Rizzuto HOF|12th|111|30.4%|87|23|13|42.2|34.7|38.4|55.4|1661|5816|877|1588|38|563|149|651|.273|.351|.355|.706|93||||||||| |||||*6/H4
384|1974|Duke Snider HOF|5th|111|30.4%|152|47|18|65.9|49.5|57.7|58.1|2143|7161|1259|2116|407|1333|99|971|.295|.380|.540|.919|140||||||||| |||||*89H7
385|1974|Red Schoendienst HOF|6th|110|30.1%|110|30|19|44.5|32.5|38.5|57.1|2216|8479|1223|2449|84|773|89|606|.289|.337|.387|.724|94||||||||| |||||*4H765/8
386|1974|X-Allie Reynolds|13th|101|27.7%|110|33|13|25.4|21.0|23.2|61.4|475|857|56|140|1|79|1|61|.163|.223|.198|.422|18|182|107|3.30|109|1.386|434|309|48|2492.1|2193|133|1261|1423|*1H
387|1974|George Kell HOF|10th|94|25.8%|90|29|15|37.6|28.1|32.8|55.7|1795|6702|880|2054|78|870|51|621|.306|.367|.414|.781|112||||||||| |||||*53H/749
388|1974|Nellie Fox HOF|4th|79|21.6%|163|32|19|49.5|37.2|43.3|57.1|2367|9232|1279|2663|35|790|76|719|.288|.348|.363|.710|94||||||||| |||||*4H/53
389|1974|Roger Maris|1st|78|21.4%|89|22|12|38.2|32.3|35.3|56.7|1463|5101|826|1325|275|850|21|652|.260|.345|.476|.822|127||||||||| |||||*98H/7
390|1974|Hal Newhouser HOF|11th|73|20.0%|140|34|17|62.7|52.7|57.7|61.4|492|999|70|201|2|81|3|89|.201|.267|.233|.500|36|207|150|3.06|130|1.311|488|374|26|2993.0|2674|136|1249|1796|*1/H
391|1974|Phil Cavarretta|11th|61|16.7%|42|22|22|37.0|26.4|31.7|53.8|2030|6754|990|1977|95|920|65|820|.293|.372|.416|.788|118||||||||| |||||*3H897
392|1974|Richie Ashburn HOF|7th|56|15.3%|112|41|15|64.2|44.4|54.3|58.1|2189|8365|1322|2574|29|586|234|1198|.308|.396|.382|.778|111||||||||| |||||*8H79/4
393|1974|Al Dark|9th|54|14.8%|51|26|14|43.9|33.7|38.8|55.4|1828|7219|1064|2089|126|757|59|430|.289|.333|.411|.744|98|0|0|18.00|33|2.000|1|1|0|1.0|1|1|1|0|*6*5H7/4391
394|1974|Johnny Sain|9th|51|14.0%|55|17|11|29.4|31.1|30.2|61.4|433|774|69|190|3|101|0|24|.245|.270|.304|.574|58|139|116|3.49|107|1.300|412|245|53|2125.2|2145|179|619|910|*1/H
395|1974|Don Larsen|1st|29|7.9%|26|6|14|18.4|16.4|17.4|32.5|480|596|65|144|14|72|0|43|.242|.291|.371|.662|81|81|91|3.78|99|1.400|412|171|23|1548.0|1442|130|725|849|*1H/7
396|1974|Ted Kluszewski|8th|28|7.7%|77|24|15|31.4|28.5|29.9|53.8|1718|5929|848|1766|279|1028|20|492|.298|.353|.498|.850|123||||||||| |||||*3H
397|1974|Mickey Vernon|9th|27|7.4%|72|33|20|35.6|25.7|30.6|53.8|2409|8731|1196|2495|172|1311|137|955|.286|.359|.428|.787|116||||||||| |||||*3H/79
398|1974|Elston Howard|1st|19|5.2%|83|22|15|27.0|26.5|26.8|44.2|1625|5443|635|1491|168|775|10|376|.274|.321|.427|.748|107||||||||| |||||*27H39
399|1974|X-Carl Erskine|8th|11|3.0%|48|18|12|13.9|15.1|14.5|61.4|360|588|51|92|1|31|0|12|.156|.175|.180|.355|-7|122|78|4.00|101|1.328|335|216|13|1718.2|1637|199|646|981|*1/H
400|1974|Walker Cooper|7th|9|2.5%|74|32|18|27.3|22.8|25.0|44.2|1473|4702|573|1341|173|812|18|309|.285|.332|.464|.796|116||||||||| |||||*2*H
401|1974|Harvey Haddix|4th|8|2.2%|30|20|14|33.3|26.8|30.0|61.4|531|798|95|169|4|64|4|46|.212|.255|.296|.551|47|136|113|3.63|108|1.233|453|286|20|2235.0|2154|240|601|1575|*1H/9
402|1974|Lew Burdette|2nd|7|1.9%|85|31|18|28.6|24.0|26.3|61.4|666|1011|101|185|12|75|2|32|.183|.216|.253|.469|29|203|144|3.66|99|1.243|626|373|32|3067.1|3186|289|628|1074|*1H
403|1974|Don Newcombe|9th|7|1.9%|83|28|12|38.9|34.8|36.8|61.4|471|917|99|246|15|109|2|90|.268|.336|.361|.697|83|153|96|3.57|114|1.207|360|305|7|2251.2|2188|255|530|1187|*1H
404|1974|Bobby Thomson|9th|6|1.6%|31|21|15|33.8|27.5|30.6|58.1|1779|6305|903|1705|264|1026|38|559|.270|.332|.462|.794|110||||||||| |||||*8*75H9/43
405|1974|X-Bobby Richardson|3rd|5|1.4%|69|12|12|8.1|10.2|9.1|57.1|1412|5386|643|1432|34|390|73|262|.266|.299|.335|.634|77||||||||| |||||*4H5/6
406|1974|Vern Law|2nd|5|1.4%|42|16|16|32.3|28.2|30.3|61.4|516|883|96|191|11|90|1|41|.216|.254|.309|.563|53|162|147|3.77|101|1.284|483|364|13|2672.0|2833|268|597|1092|*1H/9
407|1974|X-Billy Pierce|5th|4|1.1%|82|35|18|53.3|37.8|45.6|61.4|616|1102|94|203|0|69|1|65|.184|.232|.203|.435|19|211|169|3.27|119|1.260|585|433|33|3306.2|2989|284|1178|1999|*1H/3
408|1974|X-Roy McMillan|3rd|4|1.1%|27|16|16|25.8|20.1|23.0|55.4|2093|6752|739|1639|68|594|41|665|.243|.314|.321|.635|72||||||||| |||||*6H/54
409|1974|Dick Groat|2nd|4|1.1%|103|24|14|36.9|29.6|33.2|55.4|1929|7484|829|2138|39|707|14|490|.286|.330|.366|.696|89||||||||| |||||*6H/534
410|1974|Vic Raschi|8th|3|0.8%|82|25|10|16.6|16.4|16.5|61.4|269|608|45|112|1|50|0|47|.184|.243|.217|.460|25|132|66|3.72|105|1.316|269|255|3|1819.0|1666|138|727|944|1
411|1974|X-Gil McDougald|9th|3|0.8%|54|21|10|40.6|32.1|36.4|57.1|1336|4676|697|1291|112|576|45|559|.276|.356|.410|.766|111||||||||| |||||*4*56H
412|1974|X-Bobby Shantz|5th|3|0.8%|52|16|16|34.7|24.9|29.8|32.5|578|548|60|107|1|46|3|47|.195|.265|.245|.509|38|119|99|3.38|119|1.260|537|171|48|1935.2|1795|151|643|1072|*1H/8
413|1974|X-Curt Simmons|2nd|3|0.8%|37|24|20|43.3|30.1|36.7|61.4|609|1135|93|194|1|76|2|59|.171|.213|.196|.408|11|193|183|3.54|111|1.307|569|462|5|3348.1|3313|255|1063|1697|*1H
414|1974|Bill Virdon|1st|3|0.8%|11|9|12|19.7|17.7|18.7|58.1|1583|5980|735|1596|91|502|47|442|.267|.316|.379|.696|89||||||||| |||||*8H9/7
415|1974|Rocky Colavito|1st|2|0.5%|82|30|14|44.5|35.4|40.0|56.7|1841|6503|971|1730|374|1159|19|951|.266|.359|.489|.848|132|1|0|0.00||1.059|2|0|0|5.2|1|0|5|2|*9*7H/31
416|1974|X-Smoky Burgess|2nd|2|0.5%|46|34|18|33.4|23.4|28.4|44.2|1691|4471|485|1318|126|673|13|477|.295|.362|.446|.807|116||||||||| |||||*2*H
417|1974|Vic Wertz|5th|2|0.5%|35|26|17|27.1|21.7|24.4|56.7|1862|6099|867|1692|266|1178|9|828|.277|.364|.469|.833|122||||||||| |||||*9*3H7/8
418|1975|Ralph Kiner|13th|273|75.4%|137|35|10|48.1|42.7|45.4|53.4|1472|5205|971|1451|369|1015|22|1011|.279|.398|.548|.946|149||||||||| |||||*783H
419|1975|Robin Roberts HOF|3rd|263|72.7%|128|47|19|86.1|55.1|70.6|61.4|688|1525|107|255|5|103|3|135|.167|.238|.226|.464|27|286|245|3.41|113|1.170|676|609|25|4688.2|4582|505|902|2357|*1/H
420|1975|Bob Lemon HOF|11th|233|64.4%|118|34|15|48.2|38.7|43.5|61.4|615|1183|148|274|37|147|2|93|.232|.288|.386|.674|83|207|128|3.23|119|1.337|460|350|22|2850.0|2559|180|1251|1277|*1H/859
421|1975|Gil Hodges HOF|7th|188|51.9%|83|32|18|43.9|33.7|38.8|53.8|2071|7030|1105|1921|370|1274|63|943|.273|.359|.487|.846|120||||||||| |||||*3H275/948
422|1975|Enos Slaughter HOF|10th|177|48.9%|90|41|19|57.8|37.4|47.6|56.7|2380|7946|1247|2383|169|1304|71|1018|.300|.382|.453|.834|124||||||||| |||||*9*7*H/8
423|1975|Hal Newhouser HOF|12th|155|42.8%|140|34|17|62.7|52.7|57.7|61.4|492|999|70|201|2|81|3|89|.201|.267|.233|.500|36|207|150|3.06|130|1.311|488|374|26|2993.0|2674|136|1249|1796|*1/H
424|1975|Pee Wee Reese HOF|11th|154|42.5%|100|39|16|68.4|42.0|55.2|55.4|2166|8058|1338|2170|126|885|232|1210|.269|.366|.377|.743|99||||||||| |||||*65H
425|1975|Eddie Mathews HOF|2nd|148|40.9%|162|54|17|96.1|53.9|75.0|55.7|2391|8537|1509|2315|512|1453|68|1444|.271|.376|.509|.885|143||||||||| |||||*53H7
426|1975|Phil Cavarretta|12th|129|35.6%|42|22|22|37.0|26.4|31.7|53.8|2030|6754|990|1977|95|920|65|820|.293|.372|.416|.788|118||||||||| |||||*3H897
427|1975|Duke Snider HOF|6th|129|35.6%|152|47|18|65.9|49.5|57.7|58.1|2143|7161|1259|2116|407|1333|99|971|.295|.380|.540|.919|140||||||||| |||||*89H7
428|1975|Johnny Sain|10th|123|34.0%|55|17|11|29.4|31.1|30.2|61.4|433|774|69|190|3|101|0|24|.245|.270|.304|.574|58|139|116|3.49|107|1.300|412|245|53|2125.2|2145|179|619|910|*1/H
429|1975|Phil Rizzuto HOF|13th|117|32.3%|87|23|13|42.2|34.7|38.4|55.4|1661|5816|877|1588|38|563|149|651|.273|.351|.355|.706|93||||||||| |||||*6/H4
430|1975|George Kell HOF|11th|114|31.5%|90|29|15|37.6|28.1|32.8|55.7|1795|6702|880|2054|78|870|51|621|.306|.367|.414|.781|112||||||||| |||||*53H/749
431|1975|Red Schoendienst HOF|7th|94|26.0%|110|30|19|44.5|32.5|38.5|57.1|2216|8479|1223|2449|84|773|89|606|.289|.337|.387|.724|94||||||||| |||||*4H765/8
432|1975|Nellie Fox HOF|5th|76|21.0%|163|32|19|49.5|37.2|43.3|57.1|2367|9232|1279|2663|35|790|76|719|.288|.348|.363|.710|94||||||||| |||||*4H/53
433|1975|Don Drysdale HOF|1st|76|21.0%|134|42|14|67.1|44.7|55.9|61.4|547|1169|96|218|29|113|0|60|.186|.228|.295|.523|45|209|166|2.95|121|1.148|518|465|6|3432.0|3084|280|855|2486|*1H
434|1975|Richie Ashburn HOF|8th|76|21.0%|112|41|15|64.2|44.4|54.3|58.1|2189|8365|1322|2574|29|586|234|1198|.308|.396|.382|.778|111||||||||| |||||*8H79/4
435|1975|Roger Maris|2nd|70|19.3%|89|22|12|38.2|32.3|35.3|56.7|1463|5101|826|1325|275|850|21|652|.260|.345|.476|.822|127||||||||| |||||*98H/7
436|1975|Al Dark|10th|48|13.3%|51|26|14|43.9|33.7|38.8|55.4|1828|7219|1064|2089|126|757|59|430|.289|.333|.411|.744|98|0|0|18.00|33|2.000|1|1|0|1.0|1|1|1|0|*6*5H7/4391
437|1975|Vic Raschi|9th|37|10.2%|82|25|10|16.6|16.4|16.5|61.4|269|608|45|112|1|50|0|47|.184|.243|.217|.460|25|132|66|3.72|105|1.316|269|255|3|1819.0|1666|138|727|944|1
438|1975|Ted Kluszewski|9th|33|9.1%|77|24|15|31.4|28.5|29.9|53.8|1718|5929|848|1766|279|1028|20|492|.298|.353|.498|.850|123||||||||| |||||*3H
439|1975|Elston Howard|2nd|23|6.4%|83|22|15|27.0|26.5|26.8|44.2|1625|5443|635|1491|168|775|10|376|.274|.321|.427|.748|107||||||||| |||||*27H39
440|1975|Don Larsen|2nd|23|6.4%|26|6|14|18.4|16.4|17.4|32.5|480|596|65|144|14|72|0|43|.242|.291|.371|.662|81|81|91|3.78|99|1.400|412|171|23|1548.0|1442|130|725|849|*1H/7
441|1975|Mickey Vernon|10th|22|6.1%|72|33|20|35.6|25.7|30.6|53.8|2409|8731|1196|2495|172|1311|137|955|.286|.359|.428|.787|116||||||||| |||||*3H/79
442|1975|Walker Cooper|8th|13|3.6%|74|32|18|27.3|22.8|25.0|44.2|1473|4702|573|1341|173|812|18|309|.285|.332|.464|.796|116||||||||| |||||*2*H
443|1975|Lew Burdette|3rd|11|3.0%|85|31|18|28.6|24.0|26.3|61.4|666|1011|101|185|12|75|2|32|.183|.216|.253|.469|29|203|144|3.66|99|1.243|626|373|32|3067.1|3186|289|628|1074|*1H
444|1975|Don Newcombe|10th|11|3.0%|83|28|12|38.9|34.8|36.8|61.4|471|917|99|246|15|109|2|90|.268|.336|.361|.697|83|153|96|3.57|114|1.207|360|305|7|2251.2|2188|255|530|1187|*1H
445|1975|Bobby Thomson|10th|10|2.8%|31|21|15|33.8|27.5|30.6|58.1|1779|6305|903|1705|264|1026|38|559|.270|.332|.462|.794|110||||||||| |||||*8*75H9/43
446|1975|Ken Boyer|1st|9|2.5%|87|36|15|62.8|46.2|54.5|55.7|2034|7455|1104|2143|282|1141|105|713|.287|.349|.462|.810|116||||||||| |||||*58H36
447|1975|Harvey Haddix|5th|8|2.2%|30|20|14|33.3|26.8|30.0|61.4|531|798|95|169|4|64|4|46|.212|.255|.296|.551|47|136|113|3.63|108|1.233|453|286|20|2235.0|2154|240|601|1575|*1H/9
448|1975|Bill White|1st|7|1.9%|63|23|13|38.6|32.0|35.3|53.8|1673|5972|843|1706|202|870|103|596|.286|.351|.455|.806|117||||||||| |||||*3H78/9
449|1975|Vern Law|3rd|6|1.7%|42|16|16|32.3|28.2|30.3|61.4|516|883|96|191|11|90|1|41|.216|.254|.309|.563|53|162|147|3.77|101|1.284|483|364|13|2672.0|2833|268|597|1092|*1H/9
450|1975|Vic Wertz|6th|5|1.4%|35|26|17|27.1|21.7|24.4|56.7|1862|6099|867|1692|266|1178|9|828|.277|.364|.469|.833|122||||||||| |||||*9*3H7/8
451|1975|Dick Groat|3rd|4|1.1%|103|24|14|36.9|29.6|33.2|55.4|1929|7484|829|2138|39|707|14|490|.286|.330|.366|.696|89||||||||| |||||*6H/534
452|1975|Johnny Podres|1st|3|0.8%|46|19|15|29.8|26.1|28.0|61.4|462|762|61|145|2|50|1|32|.190|.224|.226|.449|21|148|116|3.68|105|1.317|440|340|10|2265.0|2239|242|743|1435|*1/H
453|1975|X-Rocky Colavito|2nd|1|0.3%|82|30|14|44.5|35.4|40.0|56.7|1841|6503|971|1730|374|1159|19|951|.266|.359|.489|.848|132|1|0|0.00||1.059|2|0|0|5.2|1|0|5|2|*9*7H/31
454|1975|X-Bill Virdon|2nd|1|0.3%|11|9|12|19.7|17.7|18.7|58.1|1583|5980|735|1596|91|502|47|442|.267|.316|.379|.696|89||||||||| |||||*8H9/7
455|1976|Robin Roberts|4th|337|86.9%|128|47|19|86.1|55.1|70.6|61.4|688|1525|107|255|5|103|3|135|.167|.238|.226|.464|27|286|245|3.41|113|1.170|676|609|25|4688.2|4582|505|902|2357|*1/H
456|1976|Bob Lemon|12th|305|78.6%|118|34|15|48.2|38.7|43.5|61.4|615|1183|148|274|37|147|2|93|.232|.288|.386|.674|83|207|128|3.23|119|1.337|460|350|22|2850.0|2559|180|1251|1277|*1H/859
457|1976|Gil Hodges HOF|8th|233|60.1%|83|32|18|43.9|33.7|38.8|53.8|2071|7030|1105|1921|370|1274|63|943|.273|.359|.487|.846|120||||||||| |||||*3H275/948
458|1976|Enos Slaughter HOF|11th|197|50.8%|90|41|19|57.8|37.4|47.6|56.7|2380|7946|1247|2383|169|1304|71|1018|.300|.382|.453|.834|124||||||||| |||||*9*7*H/8
459|1976|Eddie Mathews HOF|3rd|189|48.7%|162|54|17|96.1|53.9|75.0|55.7|2391|8537|1509|2315|512|1453|68|1444|.271|.376|.509|.885|143||||||||| |||||*53H7
460|1976|Pee Wee Reese HOF|12th|186|47.9%|100|39|16|68.4|42.0|55.2|55.4|2166|8058|1338|2170|126|885|232|1210|.269|.366|.377|.743|99||||||||| |||||*65H
461|1976|Nellie Fox HOF|6th|174|44.8%|163|32|19|49.5|37.2|43.3|57.1|2367|9232|1279|2663|35|790|76|719|.288|.348|.363|.710|94||||||||| |||||*4H/53
462|1976|Duke Snider HOF|7th|159|41.0%|152|47|18|65.9|49.5|57.7|58.1|2143|7161|1259|2116|407|1333|99|971|.295|.380|.540|.919|140||||||||| |||||*89H7
463|1976|X-Phil Rizzuto HOF|14th|149|38.4%|87|23|13|42.2|34.7|38.4|55.4|1661|5816|877|1588|38|563|149|651|.273|.351|.355|.706|93||||||||| |||||*6/H4
464|1976|George Kell HOF|12th|129|33.2%|90|29|15|37.6|28.1|32.8|55.7|1795|6702|880|2054|78|870|51|621|.306|.367|.414|.781|112||||||||| |||||*53H/749
465|1976|Red Schoendienst HOF|8th|129|33.2%|110|30|19|44.5|32.5|38.5|57.1|2216|8479|1223|2449|84|773|89|606|.289|.337|.387|.724|94||||||||| |||||*4H765/8
466|1976|Don Drysdale HOF|2nd|114|29.4%|134|42|14|67.1|44.7|55.9|61.4|547|1169|96|218|29|113|0|60|.186|.228|.295|.523|45|209|166|2.95|121|1.148|518|465|6|3432.0|3084|280|855|2486|*1H
467|1976|Roger Maris|3rd|87|22.4%|89|22|12|38.2|32.3|35.3|56.7|1463|5101|826|1325|275|850|21|652|.260|.345|.476|.822|127||||||||| |||||*98H/7
468|1976|Richie Ashburn HOF|9th|85|21.9%|112|41|15|64.2|44.4|54.3|58.1|2189|8365|1322|2574|29|586|234|1198|.308|.396|.382|.778|111||||||||| |||||*8H79/4
469|1976|Al Dark|11th|62|16.0%|51|26|14|43.9|33.7|38.8|55.4|1828|7219|1064|2089|126|757|59|430|.289|.333|.411|.744|98|0|0|18.00|33|2.000|1|1|0|1.0|1|1|1|0|*6*5H7/4391
470|1976|Walker Cooper|9th|56|14.4%|74|32|18|27.3|22.8|25.0|44.2|1473|4702|573|1341|173|812|18|309|.285|.332|.464|.796|116||||||||| |||||*2*H
471|1976|Elston Howard|3rd|55|14.2%|83|22|15|27.0|26.5|26.8|44.2|1625|5443|635|1491|168|775|10|376|.274|.321|.427|.748|107||||||||| |||||*27H39
472|1976|Mickey Vernon|11th|52|13.4%|72|33|20|35.6|25.7|30.6|53.8|2409|8731|1196|2495|172|1311|137|955|.286|.359|.428|.787|116||||||||| |||||*3H/79
473|1976|Ted Kluszewski|10th|50|12.9%|77|24|15|31.4|28.5|29.9|53.8|1718|5929|848|1766|279|1028|20|492|.298|.353|.498|.850|123||||||||| |||||*3H
474|1976|Don Larsen|3rd|47|12.1%|26|6|14|18.4|16.4|17.4|32.5|480|596|65|144|14|72|0|43|.242|.291|.371|.662|81|81|91|3.78|99|1.400|412|171|23|1548.0|1442|130|725|849|*1H/7
475|1976|Roy Face|1st|23|5.9%|47|11|16|20.5|17.9|19.2|32.5|853|194|9|31|0|7|0|2|.160|.168|.175|.344|-6|104|95|3.48|109|1.243|848|27|191|1375.0|1347|141|362|877|*1/H
476|1976|Don Newcombe|11th|21|5.4%|83|28|12|38.9|34.8|36.8|61.4|471|917|99|246|15|109|2|90|.268|.336|.361|.697|83|153|96|3.57|114|1.207|360|305|7|2251.2|2188|255|530|1187|*1H
477|1976|Lew Burdette|4th|21|5.4%|85|31|18|28.6|24.0|26.3|61.4|666|1011|101|185|12|75|2|32|.183|.216|.253|.469|29|203|144|3.66|99|1.243|626|373|32|3067.1|3186|289|628|1074|*1H
478|1976|Del Crandall|1st|15|3.9%|82|26|16|28.1|24.3|26.2|44.2|1573|5026|585|1276|179|657|26|424|.254|.312|.404|.716|96||||||||| |||||*2H/397
479|1976|Ken Boyer|2nd|15|3.9%|87|36|15|62.8|46.2|54.5|55.7|2034|7455|1104|2143|282|1141|105|713|.287|.349|.462|.810|116||||||||| |||||*58H36
480|1976|Bobby Thomson|11th|9|2.3%|31|21|15|33.8|27.5|30.6|58.1|1779|6305|903|1705|264|1026|38|559|.270|.332|.462|.794|110||||||||| |||||*8*75H9/43
481|1976|Vern Law|4th|9|2.3%|42|16|16|32.3|28.2|30.3|61.4|516|883|96|191|11|90|1|41|.216|.254|.309|.563|53|162|147|3.77|101|1.284|483|364|13|2672.0|2833|268|597|1092|*1H/9
482|1976|Harvey Haddix|6th|8|2.1%|30|20|14|33.3|26.8|30.0|61.4|531|798|95|169|4|64|4|46|.212|.255|.296|.551|47|136|113|3.63|108|1.233|453|286|20|2235.0|2154|240|601|1575|*1H/9
483|1976|Dick Groat|4th|7|1.8%|103|24|14|36.9|29.6|33.2|55.4|1929|7484|829|2138|39|707|14|490|.286|.330|.366|.696|89||||||||| |||||*6H/534
484|1976|Bill White|2nd|7|1.8%|63|23|13|38.6|32.0|35.3|53.8|1673|5972|843|1706|202|870|103|596|.286|.351|.455|.806|117||||||||| |||||*3H78/9
485|1976|Vic Wertz|7th|5|1.3%|35|26|17|27.1|21.7|24.4|56.7|1862|6099|867|1692|266|1178|9|828|.277|.364|.469|.833|122||||||||| |||||*9*3H7/8
486|1976|Johnny Podres|2nd|2|0.5%|46|19|15|29.8|26.1|28.0|61.4|462|762|61|145|2|50|1|32|.190|.224|.226|.449|21|148|116|3.68|105|1.317|440|340|10|2265.0|2239|242|743|1435|*1/H
487|1977|Ernie Banks|1st|321|83.8%|170|46|19|67.7|52.0|59.9|55.4|2528|9421|1305|2583|512|1636|50|763|.274|.330|.500|.830|122||||||||| |||||*3*6H5/7
488|1977|Eddie Mathews HOF|4th|239|62.4%|162|54|17|96.1|53.9|75.0|55.7|2391|8537|1509|2315|512|1453|68|1444|.271|.376|.509|.885|143||||||||| |||||*53H7
489|1977|Gil Hodges HOF|9th|224|58.5%|83|32|18|43.9|33.7|38.8|53.8|2071|7030|1105|1921|370|1274|63|943|.273|.359|.487|.846|120||||||||| |||||*3H275/948
490|1977|Enos Slaughter HOF|12th|222|58.0%|90|41|19|57.8|37.4|47.6|56.7|2380|7946|1247|2383|169|1304|71|1018|.300|.382|.453|.834|124||||||||| |||||*9*7*H/8
491|1977|Duke Snider HOF|8th|212|55.4%|152|47|18|65.9|49.5|57.7|58.1|2143|7161|1259|2116|407|1333|99|971|.295|.380|.540|.919|140||||||||| |||||*89H7
492|1977|Don Drysdale HOF|3rd|197|51.4%|134|42|14|67.1|44.7|55.9|61.4|547|1169|96|218|29|113|0|60|.186|.228|.295|.523|45|209|166|2.95|121|1.148|518|465|6|3432.0|3084|280|855|2486|*1H
493|1977|Pee Wee Reese HOF|13th|163|42.6%|100|39|16|68.4|42.0|55.2|55.4|2166|8058|1338|2170|126|885|232|1210|.269|.366|.377|.743|99||||||||| |||||*65H
494|1977|Nellie Fox HOF|7th|152|39.7%|163|32|19|49.5|37.2|43.3|57.1|2367|9232|1279|2663|35|790|76|719|.288|.348|.363|.710|94||||||||| |||||*4H/53
495|1977|Jim Bunning HOF|1st|146|38.1%|98|42|17|59.5|48.9|54.2|61.4|601|1275|82|213|7|75|0|34|.167|.188|.206|.395|9|224|184|3.27|115|1.179|591|519|16|3760.1|3433|372|1000|2855|*1/H
496|1977|George Kell HOF|13th|141|36.8%|90|29|15|37.6|28.1|32.8|55.7|1795|6702|880|2054|78|870|51|621|.306|.367|.414|.781|112||||||||| |||||*53H/749
497|1977|Richie Ashburn HOF|10th|139|36.3%|112|41|15|64.2|44.4|54.3|58.1|2189|8365|1322|2574|29|586|234|1198|.308|.396|.382|.778|111||||||||| |||||*8H79/4
